0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,87643, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,80,40, United-States, <=50K
39, Private,207352, HS-grad,13, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
38, State-gov,74040, 7th-8th,4, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Private,190244, HS-grad,9, Separated, Exec-managerial, Husband, White, Male,14344,80,40, United-States, >50K
38, Private,190244, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,79,40, United-States, <=50K
38, Private,190244, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,79,40, United-States, <=50K
38, Private,323619, HS-grad,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
58, Local-gov,98361, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,80,50, United-States, <=50K
38, Private,206600, HS-grad,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,24, United-States, <=50K
54, Self-emp-inc,190244, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,80,98, United-States, >50K
40, Private,190987, Some-college,10, Married-civ-spouse, Sales, Wife, White, Male,7298,0,40, United-States, >50K
54, Private,230387, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Male,0,79,35, United-States, <=50K
41, Private,190244, Doctorate,10, Divorced, Exec-managerial, Husband, White, Female,0,80,50, United-States, >50K
38, Private,190244, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,79,40, United-States, <=50K
40, Private,190244, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private,190244, Assoc-voc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,79,40, United-States, <=50K
40, Private,190244, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,79,70, United-States, <=50K
38, Private,190244, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White, Male,0,79,40, United-States, <=50K
38, Private,259510, HS-grad,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,5013,0,30, United-States, <=50K
47, Private,88500, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
38, Self-emp-not-inc,190245, HS-grad,13, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,30, United-States, <=50K
38, Private,190244, HS-grad,10, Never-married, Sales, Own-child, White, Male,0,79,40, United-States, <=50K
39, Private,190243, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,80,60, Trinadad&Tobago, <=50K
35, Self-emp-not-inc,190244, HS-grad,10, Never-married, Exec-managerial, Not-in-family, White, Male,4650,79,50, United-States, <=50K
27, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,79,35, United-States, <=50K
63, Private,308028, HS-grad,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, <=50K
27, Private,190245, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,49, United-States, <=50K
45, Private,190244, HS-grad,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,80,45, United-States, <=50K
38, Private,205839, HS-grad,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,79,40, United-States, <=50K
29, Private,190244, Some-college,10, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
