0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
45, Private,87643, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,9,39, United-States, <=50K
45, Private,207352, HS-grad,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,9,39, India, >50K
73, State-gov,153947, Some-college,4, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,39, United-States, <=50K
45, Private,174924, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,137,9,40, United-States, >50K
45, Private,264936, HS-grad,10, Never-married, Other-service, Not-in-family, White, Male,0,9,39, United-States, <=50K
27, Private,167501, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Female,136,9,40, United-States, <=50K
45, Private,323619, Some-college,10, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,136,0,39, United-States, <=50K
25, Private,153998, 10th,6, Never-married, Adm-clerical, Not-in-family, White, Male,0,9,24, Nicaragua, <=50K
45, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,98, United-States, >50K
45, Private,190987, Some-college,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7298,0,40, United-States, >50K
45, Federal-gov,230387, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White, Female,0,0,39, United-States, >50K
35, Private,154062, Some-college,9, Never-married, Sales, Not-in-family, White, Male,0,9,39, United-States, <=50K
46, Private,243743, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private,154088, Assoc-voc,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,163342, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,70, United-States, <=50K
45, Private,433906, HS-grad,12, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private,154112, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,9,30, United-States, <=50K
47, Self-emp-not-inc,88500, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,9,35, United-States, <=50K
32, Private,267161, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,30, United-States, <=50K
41, Private,154021, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,9,39, United-States, <=50K
40, Private,137421, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,39, Trinadad&Tobago, <=50K
35, Self-emp-not-inc,185848, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,4650,0,50, United-States, <=50K
27, Private,155310, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
63, Private,154333, Masters,14, Married-civ-spouse, Tech-support, Not-in-family, White, Male,5013,0,40, United-States, <=50K
27, Private,109001, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,39, United-States, <=50K
45, Private,98475, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,136,0,39, United-States, <=50K
24, Private,205839, HS-grad,10, Never-married, Sales, Own-child, White, Male,0,9,40, United-States, <=50K
29, Private,277342, Some-college,9, Never-married, Transport-moving, Unmarried, White, Male,135,0,40, United-States, <=50K
46, Self-emp-inc,153953, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1672,39, United-States, <=50K
45, Local-gov,267138, Some-college,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc,154508, Bachelors,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,99, United-States, <=50K
38, Private,160035, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,137,0,55, United-States, <=50K
25, Private,154361, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,137,9,39, United-States, <=50K
22, Private,154093, Some-college,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,154064, HS-grad,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
17, Private,182158, 10th,9, Never-married, Priv-house-serv, Own-child, White, Male,0,0,39, United-States, <=50K
20, Local-gov,154024, Some-college,9, Never-married, Other-service, Not-in-family, White, Male,0,9,40, United-States, <=50K
44, Private,174907, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male,0,9,32, United-States, <=50K
22, Private,311764, 11th,7, Widowed, Sales, Not-in-family, White, Male,0,9,35, United-States, <=50K
55, Federal-gov,186791, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,9,40, United-States, <=50K
45, Private,163434, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
37, Self-emp-inc,154326, Bachelors,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,9,60, United-States, <=50K
35, Private,126569, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,39, United-States, <=50K
54, Self-emp-not-inc,57101, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
44, Private,220563, Some-college,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,9,39, United-States, <=50K
56, Private,247119, 7th-8th,4, Widowed, Machine-op-inspct, Not-in-family, Other, Female,137,9,40, United-States, <=50K
45, Private,154290, Bachelors,9, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, United-States, >50K
