0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,87643, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,39, United-States, <=50K
27, Private,207352, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
73, Private,74040, 7th-8th,6, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private,143807, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,14344,6,40, United-States, >50K
31, Private,298743, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private,167501, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private,323619, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,6,40, United-States, <=50K
58, Local-gov,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
20, Private,250273, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,0,49, Nicaragua, <=50K
54, Self-emp-inc,162439, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
37, Private,190987, Some-college,9, Married-civ-spouse, Sales, Wife, White, Female,7298,0,40, United-States, >50K
46, Federal-gov,230387, HS-grad,13, Widowed, Adm-clerical, Unmarried, White, Female,0,0,39, United-States, <=50K
41, Private,48846, Doctorate,15, Divorced, Sales, Unmarried, White, Female,1,0,50, United-States, >50K
35, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private,243743, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, Private,367329, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, United-States, <=50K
40, Private,163342, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,70, United-States, <=50K
26, Private,250115, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White, Male,0,6,40, United-States, <=50K
26, Private,259510, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,21, United-States, <=50K
46, Self-emp-not-inc,88500, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
32, Self-emp-not-inc,267161, Bachelors,13, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,53, United-States, <=50K
41, Private,220460, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,9,40, United-States, <=50K
40, Private,145340, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,6,53, Vietnam, <=50K
35, Private,185848, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,5065,6,50, United-States, <=50K
24, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,6,39, United-States, <=50K
63, Private,296007, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,5112,18,39, United-States, <=50K
27, Private,143804, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,6,49, United-States, <=50K
45, Private,98475, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Private,205839, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private,277342, Some-college,9, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-inc,119891, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1672,40, United-States, <=50K
42, Local-gov,291772, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc,53152, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, <=50K
38, Private,160035, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, <=50K
26, Private,28520, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,6,40, United-States, <=50K
21, Private,43535, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
26, Private,81286, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,7,54, United-States, <=50K
17, Private,182158, 10th,6, Never-married, Priv-house-serv, Own-child, White, Male,0,0,30, United-States, <=50K
20, Private,194630, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,6,40, United-States, <=50K
20, Private,143807, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,32, United-States, <=50K
22, Private,298768, Assoc-acdm,9, Widowed, Sales, Own-child, Black, Female,0,7,35, United-States, <=50K
55, Federal-gov,143830, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,6,40, United-States, <=50K
40, Private,163434, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,6,40, United-States, <=50K
37, Self-emp-inc,281029, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,1,6,60, United-States, <=50K
32, Private,126569, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,0,0,21, United-States, <=50K
54, Self-emp-not-inc,57101, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
44, Federal-gov,220563, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,39, United-States, <=50K
56, Private,247119, Assoc-voc,6, Divorced, Machine-op-inspct, Unmarried, White, Female,1,0,40, United-States, <=50K
40, Private,225660, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,45, United-States, >50K
59, Local-gov,245792, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Male,7,2339,40, United-States, <=50K
30, Private,190511, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,39, United-States, >50K
48, Private,143808, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,8, United-States, <=50K
34, Self-emp-not-inc,253899, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,39, United-States, <=50K
35, State-gov,172475, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,2977,206,39, United-States, <=50K
46, Private,107460, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Female,0,0,37, United-States, <=50K
29, Private,213692, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
45, Federal-gov,213635, Bachelors,10, Never-married, Handlers-cleaners, Unmarried, Black, Female,1,0,40, United-States, <=50K
34, Self-emp-not-inc,172748, 7th-8th,4, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
46, State-gov,138852, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,45,6,39, United-States, <=50K
30, Local-gov,226443, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,4,1887,45, United-States, >50K
47, Self-emp-not-inc,264052, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,2,776,39, United-States, >50K
42, Private,212894, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,48,1884,39, United-States, >50K
