0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37, Private,189721, HS-grad,13, Never-married, Sales, Husband, White, Male,1037,0,40, United-States, <=50K
27, Private,189715, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,1037,3,40, India, >50K
73, State-gov,74040, HS-grad,4, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Private,174924, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,14344,0,40, United-States, >50K
31, Private,264936, Some-college,10, Never-married, Other-service, Husband, White, Male,1037,0,40, United-States, <=50K
27, Private,189700, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,1037,0,40, United-States, <=50K
33, Private,323619, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Local-gov,98361, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
37, Private,206600, 10th,10, Never-married, Other-service, Husband, White, Male,0,3,24, Nicaragua, <=50K
54, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,3,41, United-States, >50K
37, Private,189695, HS-grad,10, Married-civ-spouse, Sales, Wife, White, Female,7298,3,40, United-States, >50K
37, Private,230387, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Male,1038,0,35, United-States, <=50K
41, Private,189718, Doctorate,16, Divorced, Sales, Husband, White, Female,0,3,50, United-States, >50K
35, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,1038,0,40, United-States, <=50K
41, Private,243743, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,3,40, United-States, >50K
27, Private,367329, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,1037,0,40, United-States, <=50K
37, Private,163342, HS-grad,10, Never-married, Adm-clerical, Husband, White, Female,0,0,70, United-States, <=50K
37, Private,433906, Assoc-acdm,10, Never-married, Other-service, Not-in-family, White, Male,0,3,40, United-States, <=50K
24, Private,259510, HS-grad,13, Never-married, Other-service, Husband, White, Male,1038,0,30, United-States, <=50K
47, Self-emp-not-inc,88500, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,3,35, United-States, <=50K
32, Self-emp-not-inc,267161, Bachelors,10, Divorced, Exec-managerial, Unmarried, White, Male,0,3,30, United-States, <=50K
37, Private,220460, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private,137421, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,1038,0,60, United-States, <=50K
35, Private,185848, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,1039,0,50, United-States, <=50K
27, Private,189711, HS-grad,9, Never-married, Other-service, Husband, White, Female,0,0,35, United-States, <=50K
63, Private,308028, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,5013,0,40, United-States, <=50K
37, Private,109001, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,3,49, United-States, <=50K
45, Private,189701, HS-grad,13, Divorced, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
37, Private,189721, Some-college,10, Never-married, Other-service, Husband, White, Male,1038,3,40, United-States, <=50K
29, Private,189718, Some-college,10, Never-married, Other-service, Unmarried, White, Male,1038,0,40, United-States, <=50K
56, Self-emp-inc,119891, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1037,3,41, United-States, <=50K
42, Local-gov,189692, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
37, Private,189717, HS-grad,10, Never-married, Farming-fishing, Husband, White, Male,0,0,99, United-States, <=50K
41, Private,189700, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
37, Private,189713, HS-grad,10, Never-married, Other-service, Not-in-family, White, Female,0,3,40, United-States, <=50K
22, Private,43535, HS-grad,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
25, Private,189714, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,1037,0,45, United-States, <=50K
17, Private,182158, HS-grad,6, Never-married, Priv-house-serv, Husband, White, Male,0,0,30, United-States, <=50K
37, Local-gov,194630, Some-college,10, Never-married, Other-service, Husband, White, Male,0,3,40, United-States, <=50K
37, Private,189723, Assoc-acdm,10, Never-married, Sales, Own-child, White, Female,0,3,32, United-States, <=50K
37, Private,311764, 11th,7, Widowed, Other-service, Husband, White, Female,1038,3,40, United-States, <=50K
37, Federal-gov,186791, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
