0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,171298, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,1443,97,35, United-States, <=50K
26, Private,170012, Assoc-voc,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,99,40, United-States, >50K
26, Private,173671, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2872,92,35, United-States, <=50K
26, Private,173104, Assoc-voc,13, Separated, Exec-managerial, Own-child, White, Male,2450,91,32, United-States, >50K
26, Private,171834, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,34, United-States, <=50K
26, Private,170703, Assoc-voc,13, Never-married, Exec-managerial, Not-in-family, White, Male,3096,0,36, United-States, <=50K
26, Private,175058, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,7958,0,35, United-States, <=50K
58, Private,175183, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,2028,87,50, United-States, <=50K
26, Private,180550, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,3021,105,34, United-States, <=50K
26, Private,173972, HS-grad,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,455,120,33, United-States, >50K
26, Private,174403, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Female,14063,0,43, United-States, >50K
26, Private,174305, 9th,13, Never-married, Machine-op-inspct, Own-child, White, Female,3168,99,31, United-States, <=50K
26, Private,174526, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2804,0,36, United-States, >50K
26, Private,175892, Assoc-voc,13, Never-married, Exec-managerial, Not-in-family, White, Male,2640,124,35, United-States, <=50K
26, Private,171507, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,3228,100,40, United-States, >50K
27, Private,176333, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2950,100,36, United-States, <=50K
40, Private,172298, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,2638,92,32, United-States, <=50K
26, Private,182334, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,100,35, United-States, <=50K
26, Private,174209, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2219,130,35, United-States, <=50K
26, Private,172290, Assoc-voc,9, Never-married, Exec-managerial, Own-child, White, Male,2903,0,34, United-States, <=50K
26, Private,173062, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2511,0,36, United-States, <=50K
27, Private,174670, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2888,88,38, United-States, <=50K
26, Private,173920, Assoc-voc,9, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,3715,101,60, United-States, <=50K
26, Private,185907, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,3229,87,36, United-States, <=50K
27, Private,172680, Assoc-voc,13, Never-married, Exec-managerial, Not-in-family, White, Male,2938,95,35, United-States, <=50K
26, Private,174709, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,3097,82,37, United-States, <=50K
26, Private,173072, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,3288,0,34, United-States, <=50K
26, Private,170784, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2399,127,34, United-States, <=50K
26, Private,172712, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2818,0,37, United-States, <=50K
27, Private,181187, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2727,81,37, United-States, <=50K
26, Private,177201, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,3018,1672,43, United-States, <=50K
26, Private,174863, Some-college,13, Never-married, Exec-managerial, Own-child, White, Male,3330,89,35, United-States, <=50K
26, Private,174252, Assoc-voc,13, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,2941,120,37, United-States, <=50K
26, Private,175143, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,3880,102,36, United-States, <=50K
26, Private,173741, Assoc-voc,13, Never-married, Other-service, Own-child, White, Male,2449,91,37, United-States, <=50K
26, Private,43535, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Female,3390,100,39, United-States, <=50K
26, Private,178131, Assoc-voc,13, Never-married, Exec-managerial, Husband, White, Male,2485,0,45, United-States, <=50K
26, Private,179022, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2277,96,34, United-States, <=50K
26, Private,174666, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,3151,111,36, United-States, <=50K
22, Private,173489, Assoc-voc,13, Married-civ-spouse, Sales, Own-child, White, Male,3111,0,34, United-States, <=50K
26, Private,171545, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2910,94,35, United-States, <=50K
26, Private,169745, Assoc-voc,13, Divorced, Exec-managerial, Own-child, White, Male,2966,0,35, United-States, <=50K
26, Private,169413, Assoc-voc,10, Never-married, Exec-managerial, Own-child, White, Male,2719,95,36, United-States, <=50K
27, Private,175411, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2238,94,33, United-States, <=50K
26, Private,173727, Assoc-voc,13, Married-civ-spouse, Craft-repair, Own-child, White, Male,1878,95,45, United-States, <=50K
54, Private,171618, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,2350,90,34, United-States, <=50K
26, Private,176887, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2948,101,38, United-States, <=50K
26, Private,173309, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,3310,92,36, Dominican-Republic, <=50K
27, Private,165312, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2516,107,37, United-States, >50K
40, Private,169301, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,2997,94,40, United-States, <=50K
26, Private,172698, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2949,93,39, United-States, >50K
26, Private,174944, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,95,29, United-States, <=50K
26, Private,204997, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2928,97,36, United-States, <=50K
26, Private,171954, Assoc-voc,13, Never-married, Exec-managerial, Own-child, White, Male,2748,94,35, United-States, <=50K
26, Private,107460, HS-grad,13, Married-civ-spouse, Exec-managerial, Own-child, White, Female,3051,90,36, United-States, <=50K
26, Private,168039, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2924,0,36, United-States, <=50K
38, Private,214542, Assoc-voc,12, Divorced, Exec-managerial, Own-child, White, Male,2461,96,37, United-States, <=50K
26, Private,174599, 7th-8th,13, Never-married, Exec-managerial, Own-child, White, Male,2898,96,42, United-States, <=50K
26, Private,165149, HS-grad,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2929,86,36, United-States, <=50K
26, Private,181218, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,1050,42,45, United-States, >50K
26, Private,170386, Assoc-voc,13, Never-married, Prof-specialty, Own-child, White, Male,2977,0,36, United-States, >50K
26, Private,168081, Assoc-voc,13, Married-civ-spouse, Sales, Own-child, White, Male,2886,98,38, United-States, >50K
27, Private,174634, Assoc-voc,13, Never-married, Exec-managerial, Husband, White, Male,3103,65,42, United-States, >50K
26, Private,169401, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Male,2528,95,37, United-States, <=50K
29, Private,174905, Assoc-voc,9, Never-married, Exec-managerial, Own-child, White, Male,3463,91,36, Mexico, <=50K
26, Private,173352, Assoc-voc,13, Never-married, Adm-clerical, Own-child, White, Female,2290,93,26, United-States, <=50K
26, Private,172136, Some-college,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2960,169,36, United-States, >50K
30, Private,175627, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,3271,100,37, United-States, <=50K
26, Self-emp-inc,173528, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,2950,98,36, United-States, >50K
26, Private,172401, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,91,28, United-States, <=50K
27, Private,176403, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,101,36, United-States, >50K
