0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
39, Private,183532, Bachelors,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,888,0,40, United-States, <=50K
39, Private,187116, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,889,86,40, United-States, >50K
39, Private,191918, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
39, Private,196434, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, >50K
31, Private,209053, HS-grad,10, Married-civ-spouse, Other-service, Husband, White, Male,888,86,40, United-States, <=50K
38, Private,182469, Bachelors,10, Married-civ-spouse, Prof-specialty, Own-child, White, Male,888,86,40, United-States, <=50K
39, Private,226061, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,887,86,40, United-States, <=50K
39, Private,181447, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,888,86,50, United-States, <=50K
39, Private,179667, 10th,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
39, Private,181977, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, >50K
39, Private,192592, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,888,86,40, United-States, >50K
39, Private,225810, Some-college,10, Never-married, Craft-repair, Unmarried, White, Female,887,86,40, United-States, <=50K
41, Private,185498, HS-grad,10, Never-married, Craft-repair, Husband, White, Female,889,86,40, United-States, >50K
39, Private,188097, Some-college,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,888,86,40, United-States, <=50K
39, Private,201329, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,888,86,40, United-States, >50K
27, Private,180062, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,888,86,40, United-States, <=50K
40, Private,182913, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,889,86,40, United-States, <=50K
38, Private,204613, HS-grad,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,86,40, United-States, <=50K
39, Private,198791, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,888,86,40, United-States, <=50K
38, Self-emp-not-inc,185359, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,889,86,35, United-States, <=50K
39, Private,202366, HS-grad,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,888,86,30, United-States, <=50K
39, Private,169239, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
39, Private,203825, HS-grad,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,888,86,40, United-States, <=50K
35, Self-emp-not-inc,185451, Some-college,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,889,86,40, United-States, <=50K
39, Private,181882, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,888,86,40, United-States, <=50K
39, Private,221746, HS-grad,10, Married-civ-spouse, Tech-support, Not-in-family, White, Male,887,86,40, United-States, <=50K
39, Private,202843, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,888,86,49, United-States, <=50K
45, Private,189501, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
38, Private,205839, HS-grad,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,86,40, United-States, <=50K
39, Private,240015, Some-college,10, Never-married, Craft-repair, Husband, White, Male,888,86,40, United-States, <=50K
39, Private,230485, Some-college,10, Never-married, Craft-repair, Husband, White, Male,887,86,40, United-States, <=50K
39, Private,194850, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
26, Self-emp-not-inc,177162, HS-grad,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,888,86,40, United-States, <=50K
39, Private,194925, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,888,86,40, United-States, <=50K
39, Private,195552, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,889,86,40, United-States, <=50K
39, Private,248626, Some-college,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,887,86,40, United-States, <=50K
