0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
43, Private,180151, Some-college,13, Married-civ-spouse, Transport-moving, Own-child, White, Female,209,335,40, United-States, <=50K
43, Private,178524, Some-college,12, Separated, Prof-specialty, Own-child, White, Female,195,342,63, United-States, >50K
43, Private,178111, Some-college,12, Divorced, Prof-specialty, Own-child, White, Female,191,320,64, United-States, <=50K
39, Private,197967, Some-college,9, Separated, Transport-moving, Own-child, White, Female,805,332,65, United-States, >50K
42, Private,156848, Some-college,12, Never-married, Transport-moving, Own-child, White, Female,194,306,40, United-States, <=50K
43, Private,181979, Some-college,13, Separated, Exec-managerial, Own-child, White, Female,198,341,65, United-States, <=50K
43, Private,186567, Some-college,12, Separated, Transport-moving, Own-child, White, Female,190,325,40, United-States, <=50K
44, Private,204637, Some-college,13, Separated, Prof-specialty, Own-child, White, Female,191,365,67, United-States, <=50K
43, Private,182369, Some-college,10, Never-married, Transport-moving, Own-child, White, Female,188,157,24, United-States, <=50K
44, Private,174460, Some-college,12, Separated, Transport-moving, Own-child, White, Female,0,344,65, United-States, >50K
37, Private,160108, Some-college,13, Separated, Prof-specialty, Own-child, White, Female,193,0,65, United-States, >50K
46, Private,172140, Some-college,12, Divorced, Transport-moving, Unmarried, White, Female,219,286,35, United-States, <=50K
43, Private,176768, Some-college,12, Separated, Transport-moving, Own-child, White, Female,191,349,65, United-States, >50K
44, Private,177602, Some-college,12, Separated, Transport-moving, Own-child, White, Female,188,312,66, United-States, <=50K
43, Private,170412, Some-college,13, Married-civ-spouse, Transport-moving, Own-child, White, Female,189,327,51, United-States, >50K
44, Private,197207, Some-college,12, Never-married, Transport-moving, Own-child, White, Female,190,324,65, United-States, <=50K
44, Private,197909, Some-college,12, Separated, Transport-moving, Own-child, White, Female,189,341,65, United-States, <=50K
47, Private,164865, Preschool,12, Never-married, Tech-support, Own-child, White, Female,0,323,65, United-States, <=50K
44, Private,216286, Preschool,11, Separated, Transport-moving, Own-child, White, Female,200,329,65, United-States, <=50K
47, Private,88500, Some-college,12, Separated, Transport-moving, Own-child, White, Male,162,319,65, United-States, <=50K
32, Private,185233, Some-college,12, Separated, Transport-moving, Own-child, White, Female,194,0,65, United-States, <=50K
