0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,87643, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,6321,0,44, United-States, <=50K
27, Private,207352, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
73, State-gov,74040, 7th-8th,4, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Private,164646, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,14344,1467,40, United-States, >50K
31, Private,157228, Some-college,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,1600,40, United-States, <=50K
27, Private,167501, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,1467,40, United-States, <=50K
33, Private,323619, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Local-gov,98361, Masters,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
36, Private,162122, 10th,6, Never-married, Other-service, Not-in-family, White, Male,0,1466,24, United-States, <=50K
54, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1471,98, United-States, >50K
37, Private,161265, Bachelors,11, Married-civ-spouse, Sales, Wife, White, Female,7298,0,40, United-States, >50K
54, Federal-gov,230387, HS-grad,11, Widowed, Adm-clerical, Unmarried, White, Female,0,1497,35, United-States, <=50K
39, Private,65372, Doctorate,16, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
35, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,1466,40, United-States, <=50K
40, Private,243743, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5559,0,40, United-States, >50K
27, Private,162592, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,44, United-States, <=50K
40, Private,163342, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,70, United-States, <=50K
37, Private,433906, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,5582,0,40, United-States, <=50K
24, Private,259510, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,1465,44, United-States, <=50K
47, Private,88500, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1507,35, United-States, <=50K
32, Self-emp-not-inc,267161, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,30, United-States, <=50K
41, Private,160775, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1482,40, United-States, <=50K
40, Private,156908, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,1467,46, Trinadad&Tobago, <=50K
40, Self-emp-not-inc,160826, HS-grad,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,4650,0,50, United-States, <=50K
37, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
40, Private,308028, Masters,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,41, United-States, <=50K
27, Private,109001, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5585,0,41, United-States, <=50K
45, Private,98475, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,1466,45, United-States, <=50K
24, Private,162505, Some-college,11, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private,162577, HS-grad,10, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-inc,161319, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,5872,1530,40, United-States, <=50K
42, Private,160860, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc,258306, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,5545,0,99, United-States, <=50K
38, Private,160035, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
25, Private,28520, HS-grad,11, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private,43535, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,5558,0,40, United-States, <=50K
25, Private,162231, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1466,45, United-States, <=50K
17, Private,162912, 10th,6, Never-married, Priv-house-serv, Own-child, White, Female,0,0,30, United-States, <=50K
20, Local-gov,194630, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,1466,40, United-States, <=50K
21, Private,174907, Assoc-acdm,11, Never-married, Adm-clerical, Own-child, White, Female,5571,1466,38, United-States, <=50K
40, Private,161762, HS-grad,11, Widowed, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
41, Federal-gov,186791, HS-grad,11, Divorced, Adm-clerical, Unmarried, White, Female,5574,1466,40, United-States, <=50K
39, Private,163434, Some-college,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,41, United-States, <=50K
40, Self-emp-inc,126569, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
35, State-gov,126569, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,5585,1476,20, United-States, <=50K
40, Self-emp-not-inc,57101, HS-grad,11, Married-civ-spouse, Craft-repair, Husband, White, Male,5552,1465,41, United-States, <=50K
44, Federal-gov,153497, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,158784, 7th-8th,4, Widowed, Machine-op-inspct, Unmarried, White, Female,0,1468,40, Dominican-Republic, <=50K
40, Private,225660, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,45, United-States, >50K
59, Local-gov,147707, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Male,5549,2339,41, United-States, <=50K
30, Private,190511, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1466,40, United-States, >50K
48, Private,199763, Some-college,11, Divorced, Adm-clerical, Not-in-family, White, Female,5587,0,8, United-States, <=50K
26, Private,253899, Bachelors,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, State-gov,172475, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,6270,0,45, United-States, <=50K
47, Private,107460, Some-college,9, Separated, Exec-managerial, Not-in-family, White, Female,6068,1467,41, United-States, <=50K
37, Private,213692, Some-college,11, Never-married, Craft-repair, Own-child, White, Male,0,1465,45, United-States, <=50K
38, Private,214542, HS-grad,10, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,41, United-States, <=50K
30, Self-emp-not-inc,172748, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,1467,40, United-States, <=50K
54, State-gov,138852, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5819,1467,40, United-States, <=50K
40, Private,226443, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,45, United-States, >50K
47, Private,161177, Bachelors,11, Married-civ-spouse, Craft-repair, Husband, White, Male,5896,1466,41, United-States, >50K
41, Private,212894, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
39, Private,150570, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,1477,41, United-States, >50K
37, Private,213644, HS-grad,11, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc,162885, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,3411,1480,70, United-States, <=50K
18, Private,434268, 11th,7, Never-married, Sales, Own-child, White, Female,0,1467,15, United-States, <=50K
35, Private,161745, Some-college,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
30, Private,162102, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,41, United-States, <=50K
40, Self-emp-inc,320124, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,15024,0,43, United-States, >50K
26, Private,118497, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1466,60, United-States, <=50K
42, ?,212206, Masters,14, Married-civ-spouse, ?, Wife, White, Female,0,1887,48, United-States, >50K
30, Private,162873, Some-college,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, <=50K
36, Private,191161, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1466,50, United-States, <=50K
47, Local-gov,174533, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,5946,0,40, United-States, >50K
31, Private,272856, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,5558,0,50, England, <=50K
39, Private,170456, Some-college,10, Never-married, Other-service, Own-child, White, Male,5625,0,35, Italy, <=50K
