0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32, Private,205179, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private,207352, Bachelors,12, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,47,0,40, India, >50K
61, State-gov,74040, 7th-8th,4, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,37, United-States, <=50K
39, Private,174924, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Male,14344,0,41, United-States, >50K
31, Private,179163, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,26,40, United-States, <=50K
27, Private,167501, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,17,40, United-States, <=50K
34, Private,106923, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Local-gov,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,446,50, United-States, <=50K
25, Private,206600, HS-grad,6, Never-married, Other-service, Not-in-family, White, Male,0,0,24, Nicaragua, <=50K
54, Self-emp-inc,162439, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private,190987, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,7298,0,40, United-States, >50K
54, Federal-gov,257897, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,11,40, United-States, <=50K
41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, >50K
25, Private,159179, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private,250460, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,2059,275,40, United-States, >50K
27, Private,202230, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,-15,22,40, United-States, <=50K
40, Private,163342, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,31,40, United-States, <=50K
26, Private,433906, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White, Male,-205,0,42, United-States, <=50K
49, Private,299516, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,30, United-States, <=50K
47, Self-emp-not-inc,88500, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,38,35, United-States, <=50K
47, Self-emp-not-inc,267161, Bachelors,13, Divorced, Craft-repair, Unmarried, Black, Female,0,0,30, United-States, <=50K
41, Private,158562, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,43, United-States, <=50K
40, Private,137421, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,-152,0,39, Trinadad&Tobago, <=50K
35, Self-emp-not-inc,185848, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,-372,0,50, United-States, <=50K
27, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
63, Private,396793, Masters,14, Married-civ-spouse, Tech-support, Husband, White, Male,5013,29,33, United-States, <=50K
40, Private,109001, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,67, United-States, <=50K
