LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,34,-2,-2,0,0,-2,-2,0,0,43165,92616,0,0,1388,0,0,0,0,0,0
80000,1,1,2,34,0,0,0,0,0,0,66122,92131,47655,43182,44332,17007,2600,4300,2000,2401,2000,2000,0
200000,1,3,1,49,1,-2,0,-1,0,0,0,0,2317,7588,37897,14053,0,2317,7588,7614,3725,0,0
255880,1,2,1,41,-1,-1,-1,-1,-1,-1,2468,1077,43099,0,7014,7696,1379,1140,0,7014,800,692,0
255935,1,1,1,38,0,0,0,0,0,0,81719,85389,86287,92453,35345,9360,5000,3000,2000,2415,3728,694,0
50000,1,1,1,24,0,0,0,0,0,0,23553,21507,17827,7655,7881,8248,1407,2000,1864,500,3721,689,0
20000,2,1,2,25,0,0,0,-1,0,0,4541,0,724,92339,18985,19531,1412,724,18589,1000,1000,698,1
255759,1,1,2,33,0,0,-2,-1,0,0,6015,8751,686,430667,161089,119339,8797,691,238241,1009,3723,693,0
20000,1,2,2,38,2,0,0,0,0,0,11995,77904,43427,14308,14625,17161,1385,1233,1865,547,3880,0,1
200000,2,1,1,38,0,-1,-1,0,-1,0,111138,1418,43956,120,150,928,1370,0,1840,2420,928,464,1
100000,2,2,1,29,0,0,0,0,0,0,111240,116686,113939,111079,107257,16990,1403,5600,5500,4500,5000,692,0
255781,1,1,2,38,0,0,0,0,0,0,111223,77522,43041,16004,16203,16964,1389,1300,800,605,3728,2000,0
180000,2,1,1,25,1,2,0,0,0,0,111145,41742,43583,43510,37936,45319,1300,2010,1762,1762,1790,1622,0
180000,1,1,2,38,-2,0,-2,-2,-2,-1,111105,78414,2611,92354,5127,16941,3169,2618,8736,5142,8766,15040,0
255736,1,1,2,38,0,0,0,-2,0,0,36560,77782,43161,0,1757,21667,0,0,1863,1757,3726,10158,0
255905,1,1,2,24,2,0,0,0,0,0,17781,19388,19933,92543,12822,19924,2000,2302,390,388,10000,692,1
90000,2,2,1,50,0,0,0,2,0,0,43439,44512,43141,46615,47537,48616,1366,2288,1869,2000,2000,686,0
80000,1,1,2,38,0,0,0,0,0,0,73722,75323,64277,45455,42231,42804,3300,2500,1556,2475,1600,1600,0
255921,1,1,1,26,0,0,2,2,0,0,131367,146193,140202,144035,140419,130271,17000,0,11400,550,3729,687,1
280000,2,1,2,38,0,0,0,0,0,0,202506,197855,43121,282518,248238,210267,10547,80004,68410,7767,6308,687,0
50000,2,1,1,56,0,0,0,0,0,0,110887,75797,42981,16770,15529,16612,1556,1247,1770,700,1000,1129,0
150000,1,3,2,38,0,0,0,0,0,0,111007,7985,7315,92378,10413,16745,1390,2305,6023,2399,6745,2155,0
190000,1,1,1,31,0,0,0,2,2,0,104503,106773,114791,106414,96980,17016,4000,9844,1845,24,3297,3325,0
60000,2,1,1,35,0,0,0,0,0,2,27892,29438,32620,92743,35732,17117,2000,4000,1197,3000,0,685,0
360000,2,1,2,33,0,-1,0,0,0,0,3231,77936,43586,92232,9743,16823,1387,2293,1000,0,3721,688,0
390000,2,2,2,33,0,0,0,0,0,0,45818,144656,42871,92479,37719,17187,1398,6000,3704,2741,3314,2556,0
30000,2,1,1,38,0,0,0,0,0,0,28494,77952,43425,26960,27215,17117,1750,1804,1800,1000,3725,1500,1
120000,1,1,2,29,0,-1,0,0,-1,-1,111031,5795,10863,1601,1126,17125,5894,10863,1871,1126,4802,9751,0
200000,2,1,2,33,0,-2,0,-2,-2,-2,9099,77995,43217,92402,37905,5506,3775,664,0,641,5506,1847,0
330000,2,1,1,36,1,0,-2,-1,-1,0,111175,0,0,1983,0,207,0,0,1983,2467,3729,697,0
60000,2,1,1,35,1,0,2,2,2,3,5601,5366,6772,6515,7906,7487,1353,1500,0,1500,0,698,0
480000,2,2,1,37,-1,0,0,0,-1,0,5269,2217,43137,92469,2718,1498,1358,9731,1853,2718,3719,1138,0
255888,2,1,2,45,-2,-2,0,0,-2,-2,111260,78190,0,0,300,17133,0,2296,0,300,390,930,0
80000,1,2,1,32,0,0,0,0,0,0,48747,78210,44989,41358,37933,38052,2145,1844,2009,5017,2000,692,0
