LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
400000,1,1,1,30,-2,-2,-2,-2,-2,-2,0,0,0,0,0,168,182,0,0,0,0,263,0
80000,1,2,2,34,0,0,0,0,0,0,66122,92131,57262,106952,44332,45440,2600,41768,2000,2000,2000,2478,0
200000,2,3,1,49,1,-2,-1,-1,-1,-1,382,0,2317,7588,7606,8011,0,2317,8141,7614,14053,0,0
24902,2,2,1,41,-1,-1,-1,-1,-1,-1,2468,1077,1140,0,6762,7696,1140,1868,0,5073,800,182,0
82187,2,1,1,39,2,0,0,0,0,0,101028,85389,86287,65287,35345,9360,5000,1904,2000,3000,7208,175,0
50000,1,2,2,24,0,0,0,0,0,0,23553,21507,22427,7655,6766,8248,1677,2000,500,353,500,1000,0
20000,2,1,2,30,-1,-1,-1,-1,0,0,4541,0,724,18589,18985,62872,0,1856,18589,1000,1000,450,1
325130,1,1,2,28,-2,-2,-2,-1,0,0,6015,8751,686,106933,161089,119339,8797,691,56757,1009,9705,7482,0
20000,2,2,2,23,2,0,0,0,0,0,14387,13324,14029,14308,16526,18245,1528,1233,512,547,3880,175,1
200000,2,1,1,47,-1,-1,-1,-1,-1,-1,935,1418,-2,120,150,381,1418,0,1290,300,928,464,1
82298,2,2,1,29,0,0,0,0,0,0,118008,142327,113939,111079,167634,105377,5614,5600,8142,5072,5000,6000,0
20000,1,1,2,40,0,0,0,0,0,0,13639,14711,22882,16004,19236,16916,1600,1300,800,605,963,2443,0
235405,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,106088,32565,33380,1300,35648,1762,1762,2717,1622,0
180000,1,3,2,29,-2,-2,-2,-2,-2,-1,4358,4248,2611,8710,6760,8758,2811,2618,8736,5142,8766,15040,0
400000,1,1,1,49,0,0,-2,-2,-1,0,2094,0,0,2,4645,97111,0,0,0,1757,0,436,0
20000,1,1,2,24,4,0,0,0,0,0,35284,19388,22679,17331,12822,31951,2000,1300,390,388,10000,400,1
90000,2,2,1,50,0,0,0,2,0,0,43439,44512,47677,46615,32540,48616,2100,4200,0,2000,2000,2000,0
80000,1,1,2,29,0,0,0,0,0,0,104722,142320,64277,106999,42231,42804,2811,2500,1556,1117,1600,1600,0
140000,1,2,2,30,0,0,2,2,2,2,104718,142028,123628,144035,140419,130271,17000,0,11400,49260,5300,5400,1
235508,2,1,2,32,0,0,0,0,0,0,202506,142277,123651,282518,248238,210267,9164,80004,68410,5073,7284,5437,0
50000,2,2,1,45,0,0,0,0,0,0,27316,29179,26482,16770,15529,17927,1556,1856,1770,700,1000,1129,0
150000,2,3,2,30,0,0,0,0,0,0,39590,7985,7315,11295,10413,16745,2200,2500,6023,5077,6745,2478,0
190000,1,1,2,31,0,0,0,2,2,0,104627,106773,114791,106414,168334,98880,4000,9844,3304,24,3297,3325,0
60000,2,2,1,39,0,0,0,0,0,2,27892,29438,32620,33274,35732,35008,2000,4000,1197,3000,0,1400,0
360000,2,2,2,33,-1,-1,0,0,0,0,3231,9523,11357,12123,11242,9567,9666,2000,1000,883,0,174,0
390000,1,2,2,33,0,0,0,0,0,0,102867,144656,123695,99008,70040,71935,100000,6000,3704,2741,3314,2556,0
26201,2,2,2,25,0,0,0,0,0,0,27311,28139,27480,22707,27215,27977,1750,1856,1800,1000,1200,1560,1
82341,2,1,2,29,-1,-1,-1,0,-1,-1,3945,5795,10863,1601,1126,4302,9118,6902,0,1126,4802,9751,0
235409,2,1,2,33,-2,0,-2,-2,0,-2,9099,3771,664,0,641,4411,2811,1856,21,641,7280,1847,0
330000,2,1,1,36,1,-2,-2,-1,-1,-1,0,333,311,1983,0,207,0,32,1322,0,991,49974,0
60000,2,2,1,35,1,2,2,2,2,3,5601,5366,6772,6515,6756,7487,1305,1500,2,1135,1,0,0
226168,2,2,1,37,-1,-1,-1,-1,-1,-1,6566,2217,2877,9272,6512,1498,2217,10395,9272,2718,1498,1138,0
30000,2,3,2,39,-2,-2,-2,-2,-2,-2,262,0,0,0,300,390,0,5,0,300,390,2472,0
80000,1,2,1,30,0,0,0,0,0,0,48747,45955,44989,41358,42379,31953,2145,1844,2009,5017,2000,5002,0
80000,1,2,2,53,0,0,0,0,0,0,80577,142247,78363,105702,49996,32039,2788,1851,1630,1759,0,52085,0
290000,2,2,1,39,0,0,0,0,0,0,212943,216910,213931,212770,211098,98790,9059,7714,7283,7407,10000,5738,0
240000,1,1,1,36,0,0,0,0,2,2,14559,15513,17242,18450,18013,17917,1500,2000,1295,1123,1870,700,0
55831,2,1,2,24,3,0,0,4,3,2,14034,15296,22413,21894,18835,18395,2515,5000,3361,0,0,3000,1
235395,2,2,2,24,-1,2,-1,0,-1,-1,2227,316,171,316,102,378,0,1856,0,348,632,0,0
50000,1,2,1,30,1,2,2,2,0,0,104509,37916,50175,22868,15659,17305,0,3056,49,2000,907,3000,1
20000,1,2,1,48,0,0,0,0,-2,-2,25928,19784,20650,0,0,167,2000,1856,0,7,0,0,0
720000,2,1,1,39,0,0,0,0,0,0,125529,112933,105582,105822,83504,79411,8019,7053,8142,5073,2591,10081,0
