Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,87.33,0,0.0,52,735.58,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
3,87.16,0,43.2,1,734.48,0.03,0.2,0.0,0.0,May,1,2,4,3,Returning_Visitor,False,False
3,0.0,1,0.0,19,735.66,0.03,0.02,0.0,0.6,May,1,2,1,2,Returning_Visitor,False,False
3,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,4,1,1,10,Returning_Visitor,True,False
3,388.3,8,417.0,67,6483.77,0.0,0.02,24.27,0.0,May,2,2,1,2,Returning_Visitor,False,False
0,87.29,0,43.23,1,735.37,0.2,0.05,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,86.78,1,43.26,45,736.17,0.03,0.05,0.0,0.0,June,4,2,1,3,Returning_Visitor,False,False
3,87.28,0,43.21,4,126.0,0.0,0.01,0.0,0.0,May,2,2,1,2,New_Visitor,False,False
3,101.51,0,0.0,11,242.92,0.0,0.02,16.16,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,87.05,1,0.0,2,19.0,0.0,0.05,0.0,0.0,May,1,2,6,2,Returning_Visitor,True,False
3,87.37,0,0.0,59,735.51,0.0,0.05,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
2,94.0,0,43.17,5,97.0,0.03,0.03,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
3,58.0,1,0.0,33,735.28,0.0,0.01,0.0,0.0,Dec,3,2,3,2,Returning_Visitor,False,False
3,125.0,1,43.19,7,49.0,0.03,0.08,0.0,0.0,May,1,1,8,2,Returning_Visitor,False,False
0,86.94,1,0.0,1,487.0,0.0,0.1,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,False,False
0,0.0,1,0.0,12,103.0,0.03,0.17,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
3,0.0,0,0.0,75,1775.24,0.0,0.02,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,True,False
0,87.13,0,0.0,77,735.0,0.0,0.03,0.0,0.0,Dec,1,2,1,1,Returning_Visitor,False,False
0,0.0,1,0.0,6,60.25,0.03,0.07,0.0,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
0,87.24,0,0.0,8,70.2,0.03,0.06,0.0,0.0,Mar,1,2,8,1,Returning_Visitor,False,False
3,0.0,0,45.21,29,1137.17,0.0,0.01,22.27,0.0,May,1,8,1,2,Returning_Visitor,True,True
3,87.66,1,43.22,32,2230.6,0.01,0.05,0.0,0.0,Jul,2,2,9,2,Returning_Visitor,False,False
3,87.44,1,0.0,37,736.4,0.02,0.05,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0,87.16,0,43.2,39,805.79,0.01,0.05,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
3,87.38,0,43.14,55,2570.43,0.03,0.05,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,True,False
3,87.3,2,106.8,68,736.21,0.03,0.05,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,True
2,28.0,1,0.0,42,801.57,0.02,0.0,80.04,0.0,May,2,2,1,2,Returning_Visitor,True,True
2,5.0,0,0.0,0,0.0,0.0,0.05,0.0,0.8,May,1,2,8,5,New_Visitor,False,False
3,0.0,0,43.22,22,735.77,0.01,0.04,0.0,0.0,May,4,2,1,4,Returning_Visitor,False,False
0,87.24,1,43.24,1,735.83,0.03,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
7,268.42,0,45.21,41,799.7,0.0,0.01,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
3,14.0,1,43.13,36,947.88,0.03,0.01,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
3,301.08,0,0.0,27,802.76,0.01,0.04,11.16,0.0,Jul,3,2,1,2,Returning_Visitor,False,False
3,87.22,0,0.0,1,0.0,0.03,0.05,0.0,0.0,Nov,8,2,1,2,New_Visitor,False,False
0,86.8,0,43.16,4,87.88,0.03,0.03,0.0,0.0,Nov,1,2,1,10,Returning_Visitor,False,True
3,0.0,1,43.14,4,66.0,0.0,0.03,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
3,87.31,1,43.21,26,743.48,0.03,0.02,9.28,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
5,41.7,1,114.0,401,792.18,0.02,0.05,3.55,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
3,59.53,1,43.17,13,183.65,0.0,0.01,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
3,0.0,1,297.2,8,320.27,0.0,0.04,17.8,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
0,0.0,1,0.0,18,736.21,0.03,0.06,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
