Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.39,52,1639.81,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.42,1,0.0,0.19,0.2,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,900.92,0.03,0.05,0.11,0.6,May,1,1,8,3,Returning_Visitor,False,False
0,6.36,0,0.0,1,0.0,0.06,0.2,0.0,0.0,Nov,4,1,1,3,Returning_Visitor,True,False
13,40.16,0,417.0,67,6483.77,0.01,0.06,14.55,0.0,May,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.19,0.2,0.29,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,10.18,0,1.89,45,501.56,0.04,0.05,0.0,0.0,June,4,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,192.77,0.0,0.03,0.15,0.0,May,2,2,1,5,New_Visitor,False,False
0,0.0,0,0.0,11,969.39,0.0,0.03,10.91,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,0.0,2,19.0,0.0,0.1,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,True,False
7,73.02,0,0.0,59,1610.32,0.0,0.03,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,5,97.0,0.0,0.04,0.2,0.0,May,3,2,1,10,Returning_Visitor,False,False
1,58.0,0,0.76,33,491.05,0.0,0.01,0.0,0.0,Dec,3,2,3,2,New_Visitor,False,False
2,125.0,0,0.0,7,49.0,0.01,0.08,0.0,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,8.45,0,0.0,1,623.41,0.02,0.1,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,1.13,12,103.0,0.04,0.11,0.51,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,1.13,75,1198.64,0.0,0.08,0.0,0.0,May,2,2,1,3,Returning_Visitor,True,False
0,10.03,0,4.3,77,1644.89,0.0,0.03,0.0,0.0,Dec,1,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,458.93,0.0,0.05,0.36,0.0,Nov,2,2,1,3,Returning_Visitor,False,True
0,0.0,0,0.0,8,70.2,0.03,0.06,0.7,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,29,1659.87,0.0,0.01,22.27,0.0,May,1,8,1,4,Returning_Visitor,True,True
2,81.6,0,0.95,32,1587.74,0.01,0.03,1.06,0.0,Jul,2,2,1,1,Returning_Visitor,False,False
1,73.45,0,0.0,37,1209.56,0.01,0.03,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,39,805.79,0.0,0.03,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
4,406.0,0,1.31,55,2570.43,0.0,0.02,0.1,0.0,Nov,3,2,1,2,Returning_Visitor,True,False
11,225.22,0,106.8,68,1405.58,0.01,0.07,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,73.83,0,0.6,42,1329.67,0.01,0.0,57.04,0.0,May,2,2,1,4,Returning_Visitor,True,True
2,5.0,0,0.0,0,0.0,0.0,0.07,0.55,0.8,May,1,1,8,1,New_Visitor,False,False
0,9.29,0,0.0,22,584.5,0.01,0.04,0.0,0.0,May,4,1,6,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,33.57,0.19,0.14,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
7,431.97,0,0.0,41,1124.88,0.01,0.09,0.0,0.0,Nov,2,1,3,2,Returning_Visitor,False,True
3,70.93,0,0.0,36,1638.42,0.0,0.02,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,301.08,0,0.0,27,1538.06,0.01,0.04,11.16,0.0,Jul,3,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,476.09,0.2,0.2,0.0,0.0,Nov,8,2,9,2,New_Visitor,False,False
0,0.0,0,1.11,4,87.88,0.0,0.03,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,True
0,1.09,0,0.0,4,46.71,0.0,0.03,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
9,266.74,0,1312.4,26,743.48,0.0,0.02,9.28,0.0,May,2,7,1,2,Returning_Visitor,True,True
5,15.49,0,2.85,401,1344.89,0.01,0.07,3.55,0.0,Nov,2,2,6,1,Returning_Visitor,False,True
4,73.05,0,0.0,13,237.68,0.0,0.02,0.0,0.0,May,2,2,9,2,New_Visitor,False,False
0,83.2,1,4.87,8,320.27,0.01,0.04,17.8,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
0,0.0,0,0.0,18,178.84,0.03,0.06,0.22,0.0,May,2,2,3,3,Returning_Visitor,False,False
1,14.47,0,0.0,28,2195.58,0.0,0.02,8.78,0.0,Oct,1,1,3,2,Returning_Visitor,False,True
2,40.0,0,2.8,21,1494.5,0.01,0.0,0.0,0.0,May,2,2,7,2,Returning_Visitor,False,False
1,0.0,0,0.0,45,1296.0,0.0,0.02,0.0,0.0,Nov,2,5,2,3,Returning_Visitor,False,False
6,47.3,0,0.94,14,858.2,0.01,0.02,1.1,0.0,May,4,1,3,5,New_Visitor,False,True
0,0.0,0,0.0,23,1636.58,0.06,0.1,0.23,0.0,Nov,3,2,8,13,Returning_Visitor,True,False
5,176.25,0,0.43,13,1658.56,0.0,0.04,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,40.88,2,162.0,17,481.67,0.04,0.04,0.24,0.0,Mar,2,7,3,2,Returning_Visitor,False,False
1,73.51,0,0.0,11,173.38,0.0,0.02,3.27,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
10,2.68,0,21.2,39,1110.97,0.01,0.01,4.5,0.0,Sep,4,2,7,2,Returning_Visitor,False,False
8,70.97,0,0.0,43,1110.58,0.0,0.01,16.36,0.0,Nov,2,2,3,3,Returning_Visitor,False,True
0,0.0,0,3.26,29,526.38,0.01,0.02,0.0,0.0,May,1,2,6,2,Returning_Visitor,False,False
0,9.77,0,28.0,12,276.0,0.0,0.01,0.0,0.0,May,4,5,9,2,New_Visitor,False,False
0,0.0,0,0.0,9,250.5,0.0,0.05,0.29,0.0,Mar,3,2,7,1,Returning_Visitor,True,False
2,142.16,0,0.71,6,173.0,0.0,0.03,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
1,29.0,0,2.41,25,381.36,0.0,0.06,0.44,0.8,May,2,2,1,1,New_Visitor,False,False
10,35.84,0,0.0,37,1553.52,0.01,0.01,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
0,0.54,0,1.21,7,491.03,0.0,0.03,49.36,0.0,May,2,7,2,2,Returning_Visitor,True,True
4,10.68,0,0.0,39,1936.55,0.0,0.06,5.51,0.0,Mar,4,1,3,1,Returning_Visitor,False,False
0,1.87,0,0.0,14,675.53,0.01,0.02,0.79,0.0,Nov,4,2,1,3,Returning_Visitor,False,False
3,104.25,0,0.87,58,1636.83,0.02,0.05,0.06,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
7,42.0,0,0.0,23,502.52,0.01,0.05,0.0,0.0,May,2,5,3,3,Returning_Visitor,True,False
0,4.91,0,1.86,13,947.65,0.04,0.05,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,14,291.6,0.0,0.09,0.0,1.0,May,2,2,1,4,Returning_Visitor,True,False
0,0.66,0,0.0,10,1656.67,0.03,0.1,0.18,0.0,May,4,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.71,23,1434.91,0.0,0.03,3.02,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
1,9.0,0,0.0,15,855.16,0.0,0.07,43.03,0.0,Dec,1,1,3,3,New_Visitor,False,True
0,0.0,0,1.73,4,568.48,0.05,0.07,1.18,0.4,May,2,2,1,7,Returning_Visitor,False,False
9,150.0,0,0.0,128,1278.43,0.01,0.04,0.0,0.8,May,3,1,1,13,Returning_Visitor,False,False
0,0.55,0,0.0,1,0.0,0.19,0.14,0.4,0.0,Dec,1,1,7,3,Returning_Visitor,False,False
9,965.5,0,0.0,30,838.05,0.01,0.01,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,True,False
0,2.08,0,2.81,26,553.5,0.0,0.01,56.26,0.0,May,2,5,3,4,Returning_Visitor,False,True
2,26.18,0,665.5,14,1093.53,0.0,0.04,1.01,0.0,Nov,3,2,3,1,Returning_Visitor,True,False
5,74.92,0,2.88,14,1206.48,0.0,0.04,0.0,0.0,Sep,2,2,4,4,Returning_Visitor,False,False
0,0.0,0,0.93,91,1638.07,0.0,0.08,0.87,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
6,19.95,0,176.87,146,1173.85,0.01,0.06,5.94,0.4,May,2,2,1,1,Returning_Visitor,False,False
0,0.32,0,1.35,8,196.5,0.0,0.03,0.88,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
9,208.4,0,0.0,13,177.73,0.01,0.03,0.0,0.0,May,1,1,8,2,Returning_Visitor,False,False
0,0.41,0,1.25,5,476.0,0.01,0.07,0.06,0.0,May,2,4,1,3,Returning_Visitor,False,False
0,16.17,0,1.61,65,6053.47,0.01,0.04,0.0,0.0,Sep,2,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.43,5,27.37,0.0,0.04,0.65,0.0,Dec,2,2,1,2,New_Visitor,False,False
0,0.0,0,0.0,2,62.2,0.18,0.2,0.75,0.0,Mar,2,2,2,2,Returning_Visitor,False,False
8,259.83,0,0.0,26,535.47,0.0,0.01,0.11,0.0,May,2,2,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,5,58.0,0.0,0.04,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,False
0,0.0,0,1.07,8,135.25,0.0,0.05,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,False
2,11.2,0,0.0,6,117.0,0.05,0.05,0.23,0.0,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,16,1062.67,0.0,0.07,0.02,0.0,Sep,4,1,3,4,Returning_Visitor,False,True
0,0.0,0,0.69,1,39.24,0.2,0.2,0.01,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
9,201.85,0,0.92,43,1458.94,0.01,0.03,0.13,0.0,Nov,3,1,3,1,Returning_Visitor,False,False
5,21.48,0,0.0,49,1465.56,0.02,0.02,20.67,0.0,Nov,3,2,1,1,Returning_Visitor,False,True
1,19.2,0,0.0,22,1174.73,0.0,0.0,0.12,0.0,Nov,1,1,2,3,Returning_Visitor,False,False
4,29.73,0,1.94,85,1394.8,0.01,0.03,5.05,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
6,167.28,1,81.16,36,509.0,0.0,0.0,1.86,0.0,May,2,2,1,4,New_Visitor,True,False
0,4.74,0,0.0,12,281.5,0.03,0.05,0.3,0.0,May,2,4,7,4,Returning_Visitor,True,False
0,0.0,0,0.0,10,214.25,0.0,0.03,0.14,0.0,Mar,3,2,2,1,Returning_Visitor,False,False
0,7.84,0,2.53,80,1439.58,0.0,0.0,0.0,0.0,Mar,2,5,1,1,Returning_Visitor,False,False
0,0.0,0,0.63,24,727.5,0.0,0.02,0.01,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
