Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.0,52,1836.18,0.0,0.03,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0,1.88,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,900.92,0.03,0.02,0.04,0.6,May,1,1,7,1,Returning_Visitor,False,False
0,1.59,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,True,False
13,440.5,8,417.0,85,6483.77,0.0,0.02,24.27,0.0,May,2,2,4,2,Returning_Visitor,False,False
0,1.45,0,0.0,3,0.0,0.2,0.2,0.02,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.29,45,1869.58,0.02,0.04,0.03,0.0,June,1,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,126.0,0.0,0.01,0.16,0.0,May,2,2,6,5,New_Visitor,False,False
1,195.32,0,0.0,36,242.92,0.0,0.02,16.16,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,0.31,2,19.0,0.02,0.1,0.0,0.0,May,1,1,6,1,Returning_Visitor,True,False
2,51.5,0,0.0,33,1049.06,0.0,0.0,0.3,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
3,94.0,0,0.0,5,97.0,0.0,0.03,0.23,0.0,Mar,2,3,1,10,Returning_Visitor,False,False
1,130.77,0,0.0,33,647.62,0.0,0.01,0.0,0.0,May,3,2,3,2,New_Visitor,True,False
2,87.09,0,0.38,7,236.01,0.04,0.08,0.11,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,29,487.0,0.0,0.1,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,0.1,12,103.0,0.13,0.17,0.02,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,22,1775.24,0.0,0.05,0.0,0.0,Nov,2,6,2,3,Returning_Visitor,True,False
0,0.0,0,0.0,77,1903.6,0.01,0.04,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,1.45,0,0.0,6,60.25,0.03,0.07,0.0,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
0,0.0,0,0.29,8,70.2,0.04,0.06,0.05,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,5.01,29,1137.17,0.0,0.02,11.77,0.0,May,3,2,1,11,Returning_Visitor,True,True
2,81.6,1,0.0,32,2230.6,0.01,0.02,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
1,108.78,0,0.0,37,1209.56,0.0,0.02,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,39,805.79,0.01,0.03,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
6,406.0,0,0.12,55,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
9,270.02,2,106.8,68,1607.17,0.0,0.03,0.33,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,105.11,0,0.0,37,1329.67,0.0,0.01,59.27,0.0,May,2,2,1,3,Returning_Visitor,True,True
2,5.0,0,0.0,0,0.0,0.0,0.07,0.0,0.8,May,1,1,8,5,Returning_Visitor,False,False
0,0.0,1,0.07,22,584.5,0.0,0.04,0.0,0.05,May,4,1,9,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
1,20.72,0,0.0,37,1707.96,0.0,0.01,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,True
3,9.4,0,0.16,36,947.88,0.0,0.01,0.21,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,396.69,0,0.15,27,1869.49,0.01,0.03,11.33,0.0,Jul,2,2,3,2,Returning_Visitor,False,False
0,2.96,0,0.0,3,12.09,0.2,0.2,0.0,0.0,Nov,8,2,9,2,New_Visitor,False,False
0,1.57,0,0.0,31,508.37,0.0,0.03,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,True
0,0.0,0,0.0,4,66.0,0.0,0.03,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
9,266.74,4,1312.4,26,1677.55,0.0,0.02,9.28,0.0,Nov,2,7,1,2,Returning_Visitor,True,True
5,41.7,1,114.0,401,2439.93,0.01,0.02,3.55,0.0,Nov,2,2,4,1,Returning_Visitor,False,True
2,59.53,0,0.0,13,203.25,0.0,0.01,0.0,0.0,Jul,2,2,9,2,New_Visitor,False,False
0,0.0,1,297.2,8,320.27,0.0,0.04,17.8,0.01,May,2,2,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,18,143.74,0.03,0.06,0.09,0.0,May,2,2,4,1,Returning_Visitor,True,False
1,0.0,0,0.0,28,2195.58,0.0,0.02,6.13,0.0,Oct,1,1,3,2,Returning_Visitor,False,True
2,40.0,0,0.14,21,1494.5,0.01,0.0,0.01,0.0,May,2,2,7,2,Returning_Visitor,False,False
1,0.0,0,0.0,36,1296.0,0.0,0.01,0.38,0.0,Nov,2,5,2,3,Returning_Visitor,False,False
1,47.3,0,0.0,14,858.2,0.0,0.01,0.0,0.0,Oct,1,1,3,5,Returning_Visitor,False,True
0,0.0,0,0.0,37,1544.6,0.06,0.09,0.05,0.0,Nov,3,2,8,13,Returning_Visitor,True,False
3,176.25,0,0.0,13,1183.05,0.0,0.04,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,32.76,2,1.08,17,481.67,0.02,0.04,59.5,0.01,Mar,2,7,3,2,Returning_Visitor,False,False
2,27.5,0,0.0,11,243.67,0.0,0.02,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
8,593.47,1,34.52,39,1110.97,0.0,0.01,59.33,0.0,May,4,1,7,2,Returning_Visitor,False,False
9,164.62,0,0.0,43,1110.58,0.0,0.01,16.36,0.0,Nov,2,2,3,2,Returning_Visitor,False,True
