Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.0,52,905.62,0.0,0.03,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0,4.02,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,900.92,0.03,0.02,0.37,0.6,May,1,1,1,1,Returning_Visitor,False,False
0,4.0,0,0.0,21,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
13,4.01,8,417.0,21,6483.77,0.0,0.02,24.27,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0,4.02,0,0.0,21,0.0,0.2,0.2,0.37,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.87,45,914.03,0.02,0.04,0.37,0.0,June,2,2,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,126.0,0.0,0.01,0.36,0.0,May,2,2,6,5,Returning_Visitor,False,False
0,4.01,0,0.0,22,242.92,0.0,0.02,16.16,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,0.87,2,19.0,0.0,0.1,0.0,0.0,May,1,1,6,2,Returning_Visitor,True,False
0,51.5,0,0.0,21,903.86,0.0,0.0,0.37,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
0,94.0,0,0.0,21,97.0,0.0,0.03,0.37,0.0,Mar,2,3,1,10,Returning_Visitor,False,False
1,4.0,0,0.0,33,647.62,0.0,0.01,0.0,0.0,Mar,3,2,3,2,Returning_Visitor,False,False
2,4.0,0,0.87,7,899.85,0.0,0.08,0.37,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,22,487.0,0.0,0.1,0.0,0.0,Mar,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,0.86,12,103.0,0.13,0.17,0.36,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,21,1775.24,0.0,0.04,0.0,0.0,Mar,2,6,1,3,Returning_Visitor,True,False
0,0.0,0,0.0,77,1903.6,0.0,0.04,0.0,0.0,Dec,2,1,3,1,Returning_Visitor,False,False
0,4.01,0,0.0,6,60.25,0.03,0.07,0.0,0.0,Mar,2,2,7,3,Returning_Visitor,False,True
0,0.0,0,0.87,21,70.2,0.0,0.06,0.36,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.86,29,1137.17,0.0,0.04,0.37,0.0,May,2,2,1,11,Returning_Visitor,True,True
2,81.6,1,0.0,32,2230.6,0.0,0.02,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
1,4.02,0,0.0,21,1209.56,0.0,0.04,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,39,805.79,0.01,0.04,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0,406.0,0,0.87,55,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
0,4.03,2,106.8,68,1607.17,0.0,0.04,0.37,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,4.0,0,0.0,21,1329.67,0.0,0.04,0.36,0.0,May,2,2,1,2,Returning_Visitor,True,True
2,5.0,0,0.0,0,0.0,0.0,0.07,0.0,0.8,May,1,1,8,5,Returning_Visitor,False,False
0,0.0,0,0.87,22,584.5,0.0,0.04,0.0,0.0,May,4,2,9,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
