Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,1,0.0,52,1218.59,0.0,0.03,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
2,72.98,0,0.0,1,0.0,0.2,0.2,0.0,0.06,May,2,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,900.92,0.03,0.02,4.16,0.6,May,1,1,1,1,Returning_Visitor,False,False
0,72.84,0,0.0,30,0.0,0.2,0.2,0.0,0.06,May,2,2,1,10,Returning_Visitor,False,False
13,84.47,8,417.0,33,6483.77,0.0,0.02,24.27,0.06,Nov,2,2,4,2,Returning_Visitor,False,False
2,72.9,0,0.0,30,0.0,0.2,0.2,4.18,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,32.91,45,1104.77,0.02,0.04,4.13,0.0,June,2,2,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,126.0,0.0,0.01,4.12,0.06,May,2,2,6,5,Returning_Visitor,False,False
2,85.62,0,0.0,33,242.92,0.02,0.02,16.16,0.06,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,32.87,2,19.0,0.02,0.1,0.0,0.0,May,1,1,6,2,Returning_Visitor,True,False
2,51.5,0,0.0,30,1104.93,0.02,0.0,4.19,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,30,97.0,0.0,0.03,4.14,0.0,Mar,2,3,1,10,Returning_Visitor,False,False
1,73.31,0,0.0,33,647.62,0.0,0.01,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
2,72.95,0,32.88,7,1104.16,0.02,0.08,4.12,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,30,487.0,0.0,0.1,0.0,0.0,May,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,32.91,12,103.0,0.13,0.17,4.17,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,30,1775.24,0.0,0.05,0.0,0.06,May,2,6,1,3,Returning_Visitor,True,False
0,0.0,0,0.0,77,1903.6,0.02,0.05,0.0,0.06,Dec,2,1,3,1,Returning_Visitor,False,False
2,79.83,0,0.0,6,60.25,0.03,0.07,0.0,0.06,Nov,2,2,7,3,Returning_Visitor,False,True
0,0.0,0,32.79,30,70.2,0.02,0.06,4.18,0.06,Mar,2,2,1,1,Returning_Visitor,False,False
2,0.0,1,36.4,29,1137.17,0.0,0.04,8.01,0.0,May,2,2,1,11,Returning_Visitor,True,True
2,81.6,1,0.0,32,2230.6,0.02,0.02,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
1,73.51,0,0.0,30,1209.56,0.02,0.05,0.0,0.06,May,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,39,805.79,0.01,0.05,0.0,0.06,May,2,2,4,2,Returning_Visitor,False,False
2,406.0,0,33.01,55,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
2,85.95,2,106.8,68,1607.17,0.02,0.04,8.02,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,85.7,1,0.0,33,1329.67,0.0,0.04,8.17,0.0,May,2,2,1,2,Returning_Visitor,True,True
2,5.0,0,0.0,0,0.0,0.0,0.07,0.0,0.8,May,1,1,8,5,Returning_Visitor,False,False
0,0.0,0,32.97,22,584.5,0.02,0.04,0.0,0.06,May,4,2,9,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.06,Dec,2,2,1,13,Returning_Visitor,False,False
2,86.25,1,0.0,33,1220.95,0.02,0.04,0.0,0.06,Nov,2,2,1,2,Returning_Visitor,False,True
3,73.03,0,33.01,36,947.88,0.02,0.01,4.2,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
7,85.92,0,36.65,27,1224.5,0.01,0.04,8.3,0.0,Jul,2,2,3,2,Returning_Visitor,False,False
0,73.06,0,0.0,30,1105.4,0.2,0.2,0.0,0.0,May,2,2,9,2,New_Visitor,False,False
0,72.99,0,0.0,30,1104.71,0.0,0.05,0.0,0.0,Nov,2,1,4,10,Returning_Visitor,True,True
0,0.0,0,0.0,4,66.0,0.02,0.03,0.0,0.06,Dec,2,2,4,2,Returning_Visitor,False,False
9,266.74,4,1312.4,26,1219.84,0.0,0.02,9.28,0.0,Nov,2,7,1,2,Returning_Visitor,False,True
5,41.7,1,114.0,401,1217.9,0.01,0.04,3.55,0.0,Nov,2,2,4,2,Returning_Visitor,False,True
