Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.0,52,1255.12,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.14,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,2.89,19,900.92,0.03,0.03,0.0,0.6,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,2.49,3,344.12,0.2,0.14,0.0,0.0,Nov,4,1,1,10,Returning_Visitor,True,False
2,388.3,2,417.0,67,6483.77,0.0,0.01,24.27,0.0,May,2,2,4,2,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.19,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
3,0.0,0,0.0,45,1970.0,0.0,0.04,0.25,0.0,June,4,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,99.09,0.0,0.01,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,2.61,11,242.92,0.0,0.02,16.16,0.0,Dec,2,10,7,2,Returning_Visitor,False,True
0,0.95,0,0.0,2,19.0,0.0,0.1,0.0,0.0,May,1,1,6,1,Returning_Visitor,True,False
7,41.98,0,0.0,38,1252.74,0.0,0.01,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,5,97.0,0.0,0.03,0.03,0.0,Nov,1,1,1,10,Returning_Visitor,False,False
1,58.0,0,0.0,33,647.62,0.0,0.01,0.0,0.0,Dec,3,2,1,2,New_Visitor,False,False
3,125.0,0,0.0,9,84.15,0.03,0.11,0.0,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,1.18,1,1389.2,0.0,0.11,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,0.0,12,103.0,0.13,0.17,0.0,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,75,1258.88,0.0,0.01,0.0,0.0,Nov,2,2,5,3,Returning_Visitor,True,False
0,0.0,0,1.63,77,1903.6,0.0,0.03,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,60.25,0.04,0.05,0.0,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
0,0.7,0,0.86,9,70.2,0.0,0.06,0.0,0.0,Mar,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.89,29,1335.9,0.0,0.01,22.27,0.0,May,1,8,1,11,Returning_Visitor,True,True
2,120.93,1,0.0,32,2230.6,0.01,0.02,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
1,123.88,0,0.0,37,1209.56,0.02,0.03,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,38,805.79,0.01,0.01,0.02,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
10,406.0,0,0.0,38,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
11,225.22,0,11.49,68,1262.56,0.01,0.03,0.0,0.0,Sep,2,10,1,1,Returning_Visitor,False,True
3,368.34,0,0.0,42,1253.75,0.0,0.0,80.04,0.01,May,2,2,1,4,Returning_Visitor,True,True
3,5.0,0,0.0,0,0.0,0.0,0.07,0.49,0.8,May,1,1,8,2,New_Visitor,False,False
0,48.52,0,4.13,22,584.5,0.01,0.02,0.16,0.0,May,4,1,9,2,Returning_Visitor,False,False
0,0.93,0,0.0,1,3.14,0.2,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
7,268.42,0,0.0,41,1124.88,0.0,0.01,0.0,0.01,Nov,2,2,1,2,Returning_Visitor,False,True
3,90.36,0,0.0,38,947.88,0.0,0.01,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,104.76,0,0.0,27,1538.06,0.01,0.01,11.16,0.0,Jul,3,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.85,1,8.37,0.2,0.2,0.06,0.0,May,4,2,9,2,New_Visitor,False,False
1,0.0,0,0.0,4,87.88,0.0,0.03,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,True
0,0.0,0,0.0,7,66.0,0.0,0.03,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
9,392.65,0,1312.4,26,1959.94,0.0,0.02,9.28,0.0,May,2,7,1,2,Returning_Visitor,True,True
1,41.7,1,114.0,103,14568.16,0.0,0.02,5.43,0.0,May,2,2,4,1,Returning_Visitor,False,True
4,59.53,0,0.0,13,183.65,0.0,0.01,0.0,0.0,Mar,2,2,9,2,New_Visitor,False,False
2,0.0,1,297.2,8,320.27,0.0,0.04,17.8,0.0,Oct,3,2,1,2,Returning_Visitor,False,True
0,0.0,0,1.77,18,103.83,0.03,0.06,0.0,0.01,May,2,2,3,3,Returning_Visitor,False,False
1,0.0,1,0.0,28,2195.58,0.0,0.02,9.04,0.0,Nov,1,1,3,2,Returning_Visitor,False,True
2,45.18,0,0.0,21,1494.5,0.0,0.01,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
3,0.0,0,0.0,45,1264.85,0.0,0.01,0.0,0.0,Nov,2,5,2,3,Returning_Visitor,False,False
6,47.3,0,3.34,14,1510.51,0.0,0.01,0.0,0.0,May,4,1,3,5,New_Visitor,False,True
0,0.0,0,0.0,36,1544.6,0.06,0.09,0.0,0.0,Nov,3,2,8,2,Returning_Visitor,True,False
3,176.25,0,1.02,13,1183.05,0.0,0.04,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,43.39,2,94.42,17,481.67,0.0,0.01,0.03,0.0,Mar,2,7,3,2,Returning_Visitor,False,False
3,27.5,0,0.0,11,243.67,0.0,0.02,0.02,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
10,593.47,1,21.2,39,1110.97,0.0,0.01,0.02,0.0,Sep,4,2,7,2,Returning_Visitor,False,False
3,164.62,0,0.0,43,1110.58,0.0,0.02,38.93,0.0,Nov,3,2,3,3,Returning_Visitor,False,True
0,0.0,0,1.05,21,669.97,0.01,0.02,0.0,0.0,Mar,1,2,6,2,Returning_Visitor,False,False
0,0.0,0,28.0,97,1104.41,0.0,0.01,0.0,0.0,May,4,1,9,2,New_Visitor,True,False
0,0.0,0,0.0,9,318.65,0.0,0.04,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,True,False
2,125.5,0,2.87,6,162.75,0.0,0.03,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
1,29.0,0,0.0,36,381.36,0.0,0.0,0.0,0.6,May,2,2,1,2,New_Visitor,False,False
10,164.07,0,0.0,36,1553.52,0.01,0.01,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
2,0.0,0,0.0,7,343.25,0.0,0.03,10.54,0.0,Nov,2,2,2,7,Returning_Visitor,True,True
4,76.0,0,2.38,39,1936.55,0.0,0.02,5.51,0.0,Mar,4,1,3,2,Returning_Visitor,False,False
0,8.36,0,0.0,17,275.17,0.0,0.02,0.04,0.0,Nov,4,2,6,10,Returning_Visitor,False,False
3,555.5,0,0.98,58,1283.62,0.01,0.04,0.01,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
7,42.0,0,0.94,38,502.52,0.01,0.02,0.04,0.0,Nov,2,2,3,2,Returning_Visitor,True,False
0,1.57,0,0.0,13,210.5,0.03,0.05,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
