Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,68.86,0,0.0,52,1725.97,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
0,69.41,0,0.0,41,900.92,0.03,0.02,0.0,0.0,May,1,1,1,1,Returning_Visitor,False,False
3,0.0,0,0.0,41,0.0,0.0,0.2,0.0,0.0,Nov,4,2,1,10,Returning_Visitor,False,False
13,69.5,8,417.0,67,6483.77,0.0,0.02,24.27,0.0,May,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,8.55,1,0.0,0.2,0.2,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,45,1626.0,0.02,0.02,0.0,0.0,June,4,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,41,1625.73,0.0,0.01,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,0.0,11,242.92,0.0,0.02,1.08,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,0.0,41,19.0,0.0,0.02,1.08,0.0,May,1,1,6,1,Returning_Visitor,False,False
7,69.18,0,0.0,59,1954.75,0.0,0.02,1.07,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,5,97.0,0.0,0.03,1.07,0.0,Mar,3,3,1,10,Returning_Visitor,False,False
1,58.0,0,0.0,33,1625.49,0.0,0.01,0.0,0.0,Dec,3,2,1,2,New_Visitor,False,False
2,125.0,0,8.46,41,49.0,0.03,0.02,0.0,0.0,May,1,1,8,2,Returning_Visitor,False,False
3,0.0,0,8.34,1,487.0,0.0,0.1,1.08,0.0,Nov,2,1,4,10,Returning_Visitor,True,False
3,0.0,0,0.0,12,103.0,0.0,0.17,1.07,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,8.34,75,1775.24,0.0,0.02,0.0,0.0,Nov,2,6,5,3,Returning_Visitor,True,False
0,68.52,0,0.0,41,1624.39,0.0,0.03,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
3,0.0,0,0.0,6,60.25,0.03,0.07,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,True
3,69.44,0,8.4,8,1624.35,0.03,0.06,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3,0.0,0,8.41,41,1624.79,0.0,0.01,22.27,0.0,Nov,1,2,1,11,Returning_Visitor,True,True
2,69.46,1,0.0,32,2230.6,0.01,0.02,1.06,0.0,Nov,2,2,9,1,Returning_Visitor,False,False
3,108.0,0,0.0,37,1209.56,0.02,0.02,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,8.32,41,805.79,0.01,0.02,1.07,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
4,406.0,0,8.55,55,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
11,70.04,2,106.8,68,1607.17,0.01,0.03,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,28.0,0,0.0,41,1624.67,0.0,0.0,80.04,0.0,May,2,2,1,4,Returning_Visitor,True,True
2,5.0,0,0.0,0,1624.91,0.0,0.07,1.07,0.8,Nov,1,2,8,5,Returning_Visitor,False,False
3,0.0,0,0.0,22,1623.64,0.01,0.04,1.07,0.0,Nov,4,1,1,4,Returning_Visitor,False,False
0,0.0,0,8.38,1,1624.95,0.2,0.2,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
3,69.47,0,0.0,41,1124.88,0.0,0.01,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
3,14.0,0,8.4,41,947.88,0.0,0.01,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,301.08,0,8.33,27,1625.08,0.01,0.04,1.07,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
3,69.39,0,8.32,1,0.0,0.2,0.2,1.08,0.0,Nov,8,2,9,2,Returning_Visitor,False,False
