Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,95.97,0,0.0,52,1608.76,0.0,0.05,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.58,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,38,900.92,0.03,0.02,0.0,0.01,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.23,1,0.0,0.2,0.2,0.0,0.0,Nov,4,1,1,10,Returning_Visitor,True,False
4,388.3,0,49.92,38,6483.77,0.0,0.02,15.07,0.0,May,2,2,4,2,Returning_Visitor,False,False
0,1.85,0,0.0,1,0.0,0.2,0.2,0.11,0.01,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,38,1484.42,0.02,0.04,0.12,0.0,Mar,1,1,3,3,Returning_Visitor,False,False
3,97.1,0,0.0,4,184.23,0.0,0.01,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,2.13,11,242.92,0.0,0.01,16.16,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,1.92,2,19.0,0.0,0.05,0.0,0.0,May,1,1,6,1,Returning_Visitor,True,False
7,51.5,0,0.0,59,1610.44,0.0,0.0,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,5,97.0,0.0,0.03,0.39,0.0,Mar,3,3,1,10,New_Visitor,False,False
1,58.0,0,0.0,33,647.62,0.0,0.01,0.0,0.0,Dec,3,2,3,2,New_Visitor,False,False
2,125.0,0,0.0,7,49.0,0.03,0.08,0.0,0.0,May,1,1,8,3,Returning_Visitor,False,False
0,0.0,0,0.0,1,532.31,0.0,0.1,1.78,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,2.24,0,1.67,12,103.0,0.13,0.17,0.0,0.44,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.79,75,1775.24,0.0,0.02,0.0,0.0,Nov,2,6,5,2,Returning_Visitor,True,False
0,0.0,0,0.0,77,1903.6,0.0,0.03,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,0.0,0,1.37,6,60.25,0.03,0.07,0.52,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
0,0.0,0,0.57,8,70.2,0.03,0.06,0.82,0.0,Mar,3,2,8,1,Returning_Visitor,False,False
0,2.47,0,9.09,29,1137.17,0.0,0.01,14.66,0.0,May,1,8,1,2,Returning_Visitor,True,True
2,121.93,0,0.0,32,2230.6,0.01,0.02,0.06,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
1,94.55,0,0.0,37,1209.56,0.02,0.03,0.07,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
0,1.7,0,0.0,39,805.79,0.01,0.02,0.14,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
4,406.0,0,0.0,55,2570.43,0.0,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
2,225.22,2,88.04,38,1607.17,0.0,0.03,0.59,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
3,84.06,0,6.82,38,1329.67,0.0,0.01,80.04,0.0,May,2,2,1,4,Returning_Visitor,False,True
2,5.0,0,2.42,0,0.0,0.0,0.07,0.0,0.01,May,1,1,8,5,New_Visitor,False,False
0,1.67,0,0.0,22,584.5,0.01,0.04,0.0,0.0,May,4,1,9,4,Returning_Visitor,False,False
0,2.12,0,0.0,1,0.0,0.2,0.2,0.0,0.02,Dec,2,2,1,13,Returning_Visitor,False,False
7,268.42,0,5.24,38,1124.88,0.0,0.01,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
3,14.0,0,1.65,38,947.88,0.0,0.01,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,301.08,0,0.0,27,1538.06,0.01,0.04,0.43,0.01,Mar,3,2,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.19,0.2,0.0,0.0,Nov,1,2,9,2,New_Visitor,False,False
0,0.0,0,1.07,4,87.88,0.0,0.05,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,True
0,0.0,0,0.0,4,66.0,0.0,0.03,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
11,311.12,0,12.19,38,743.48,0.0,0.02,15.25,0.0,Nov,2,2,1,2,Returning_Visitor,True,True
5,41.7,2,114.0,401,14568.16,0.01,0.02,3.55,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
3,59.53,0,0.78,13,139.76,0.0,0.01,0.0,0.0,Sep,2,2,1,2,New_Visitor,False,False
