Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,0,0.0,52,1176.46,0.0,0.03,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0,4.84,0,0.0,3,0.0,0.2,0.14,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,4.75,34,1284.99,0.03,0.02,0.0,0.6,May,1,1,8,3,Returning_Visitor,False,False
0,0.0,0,0.0,1,978.5,0.14,0.2,0.0,0.0,Nov,4,1,1,10,Returning_Visitor,True,False
13,388.3,8,417.0,67,1757.28,0.0,0.02,24.27,0.0,May,2,2,4,2,Returning_Visitor,True,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,45,964.71,0.02,0.04,0.0,0.0,June,4,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,14,126.0,0.0,0.01,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,26.02,22,1208.91,0.01,0.01,16.16,0.0,Dec,2,2,7,2,Returning_Visitor,False,True
0,0.0,0,0.0,8,19.0,0.0,0.1,2.09,0.0,May,1,1,3,1,Returning_Visitor,True,False
7,44.79,0,0.0,59,1954.75,0.0,0.01,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
2,302.56,0,0.0,20,97.0,0.01,0.03,4.18,0.0,Mar,3,3,1,10,Returning_Visitor,False,False
1,58.0,2,0.0,37,647.62,0.0,0.01,0.2,0.0,Dec,3,2,3,2,New_Visitor,False,False
2,125.0,0,0.0,17,49.0,0.03,0.07,0.98,0.0,May,1,1,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,487.0,0.0,0.09,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,9.68,12,103.0,0.13,0.17,0.0,0.6,May,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,75,1775.24,0.0,0.02,0.0,0.0,Nov,2,6,7,3,Returning_Visitor,True,False
1,0.0,0,0.0,34,1903.6,0.0,0.03,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,11.15,0,0.0,6,167.88,0.03,0.06,0.0,0.0,Nov,2,2,7,3,Returning_Visitor,False,True
0,23.82,0,0.0,8,1064.14,0.03,0.05,0.0,0.0,Mar,1,2,8,1,Returning_Visitor,False,False
0,0.0,1,12.69,29,1137.17,0.0,0.02,22.27,0.0,May,1,8,1,11,Returning_Visitor,True,True
2,81.6,1,0.0,32,1211.66,0.01,0.02,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
5,108.0,0,0.0,37,1313.91,0.02,0.03,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,9.24,0,6.49,39,805.79,0.0,0.01,0.29,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
