Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,84.25,0,0.0,31,1725.97,0.0,0.03,4.17,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,31,1365.55,0.2,0.2,4.19,0.0,May,1,1,4,2,Returning_Visitor,False,False
0,76.96,0,0.0,31,900.92,0.03,0.02,0.0,0.06,May,2,1,8,1,Returning_Visitor,False,False
2,0.0,0,26.03,1,1366.02,0.2,0.2,4.18,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
13,388.3,0,26.6,67,6483.77,0.02,0.02,24.27,0.06,May,2,2,4,2,Returning_Visitor,False,False
0,76.61,0,0.0,31,1364.97,0.2,0.2,0.0,0.06,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,45,1970.0,0.02,0.04,0.0,0.06,June,4,1,3,3,Returning_Visitor,False,False
3,77.23,0,0.0,4,126.0,0.0,0.01,4.12,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,0.0,11,1450.83,0.0,0.02,16.16,0.0,Nov,2,10,7,2,Returning_Visitor,False,True
0,76.98,0,0.0,2,1364.83,0.0,0.1,4.21,0.0,May,1,1,6,1,Returning_Visitor,True,False
7,51.5,0,0.0,59,1954.75,0.0,0.0,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
2,76.81,0,0.0,5,97.0,0.02,0.03,4.21,0.06,May,3,3,1,10,Returning_Visitor,False,False
1,58.0,0,0.0,33,647.62,0.02,0.01,0.0,0.06,Dec,3,2,1,2,New_Visitor,False,False
2,125.0,0,0.0,7,49.0,0.03,0.04,4.12,0.0,May,1,2,8,1,Returning_Visitor,False,False
0,76.57,0,26.02,1,1365.98,0.0,0.1,0.0,0.0,May,2,1,4,10,Returning_Visitor,False,False
2,0.0,0,0.0,12,1365.23,0.13,0.04,4.24,0.6,May,2,2,1,3,Returning_Visitor,False,False
2,0.0,0,0.0,75,1365.34,0.02,0.02,4.23,0.0,Nov,2,6,5,3,Returning_Visitor,True,False
0,0.0,0,26.03,77,1903.6,0.0,0.03,0.0,0.0,Dec,2,1,3,2,Returning_Visitor,False,False
0,76.63,0,0.0,6,1366.02,0.03,0.04,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,True
0,77.22,0,0.0,8,70.2,0.03,0.06,0.0,0.06,Mar,2,2,8,1,Returning_Visitor,False,False
2,0.0,0,0.0,33,1137.17,0.0,0.01,22.27,0.0,May,1,8,1,11,Returning_Visitor,True,True
2,81.6,0,0.0,32,1365.73,0.01,0.02,0.0,0.0,Jul,2,2,9,2,Returning_Visitor,False,False
1,77.2,0,0.0,31,1209.56,0.02,0.03,4.28,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,26.04,39,805.79,0.01,0.01,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
2,406.0,0,26.0,55,2570.43,0.0,0.02,4.13,0.0,Nov,2,2,4,2,Returning_Visitor,True,False
11,225.22,2,26.02,68,1607.17,0.01,0.04,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,True
2,28.0,0,26.61,33,1329.67,0.0,0.0,80.04,0.0,May,2,2,1,4,Returning_Visitor,False,True
2,78.03,0,0.0,31,1370.61,0.0,0.07,4.08,0.8,May,1,1,1,5,New_Visitor,False,False
0,76.76,0,0.0,31,1366.34,0.01,0.04,0.0,0.0,May,4,1,1,2,Returning_Visitor,False,False
0,76.92,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
