Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3,84.25,1,0.0,47,1725.97,0.0,0.03,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0,0.0,1,0.0,1,1664.4,0.2,0.2,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
0,0.0,1,399.13,19,900.92,0.03,0.05,12.57,0.6,May,1,1,8,1,Returning_Visitor,False,False
0,92.04,1,409.29,45,1934.83,0.04,0.04,0.0,0.17,Nov,4,1,1,2,Returning_Visitor,True,False
5,388.3,8,417.0,67,1995.6,0.0,0.04,24.27,0.16,May,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,38,0.0,0.2,0.07,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
2,0.0,0,0.0,45,1970.0,0.02,0.05,0.0,0.16,June,1,1,6,3,Returning_Visitor,False,False
3,90.0,0,0.0,4,1746.42,0.03,0.01,12.57,0.0,May,2,2,6,5,New_Visitor,False,False
0,90.74,1,405.79,11,242.92,0.0,0.02,12.51,0.0,Dec,2,10,1,2,Returning_Visitor,True,True
2,0.0,0,0.0,2,19.0,0.0,0.1,0.0,0.0,May,1,1,1,1,Returning_Visitor,True,False
7,51.5,1,0.0,59,1982.76,0.03,0.04,0.0,0.17,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,1,0.0,5,97.0,0.0,0.03,12.6,0.0,Mar,3,3,1,1,Returning_Visitor,False,False
3,58.0,0,0.0,41,647.62,0.03,0.01,0.0,0.17,Dec,2,2,3,2,New_Visitor,False,False
2,125.0,0,0.0,7,49.0,0.03,0.05,0.0,0.0,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,487.0,0.0,0.1,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,True,False
2,0.0,0,0.0,40,103.0,0.04,0.17,12.74,0.6,May,2,2,1,3,Returning_Visitor,False,False
2,0.0,0,0.0,75,1775.24,0.0,0.02,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,True,False
0,88.53,0,395.42,77,1903.6,0.0,0.03,0.0,0.0,Dec,1,1,5,20,Returning_Visitor,False,False
2,0.0,0,405.08,6,60.25,0.03,0.07,0.0,0.0,Nov,2,2,2,13,Returning_Visitor,False,True
0,0.0,0,401.2,41,70.2,0.03,0.06,12.44,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,47,1137.17,0.0,0.01,12.24,0.36,May,1,8,1,11,Returning_Visitor,True,True
2,81.6,1,0.0,32,2230.6,0.01,0.02,0.0,0.17,Jul,2,2,9,1,Returning_Visitor,False,False
1,107.81,2,407.39,37,1209.56,0.03,0.03,0.0,0.17,Dec,2,2,1,1,Returning_Visitor,False,False
3,101.92,0,0.0,39,805.79,0.01,0.01,13.38,0.17,Dec,2,2,1,1,Returning_Visitor,False,False
5,406.0,2,417.16,55,1992.36,0.0,0.02,0.0,0.17,Nov,3,2,1,2,Returning_Visitor,True,False
11,122.29,1,400.97,68,1980.19,0.03,0.04,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,True
2,28.0,1,0.0,42,1329.67,0.03,0.0,80.04,0.0,May,2,5,2,4,Returning_Visitor,False,True
2,5.0,1,0.0,0,0.0,0.0,0.07,0.0,0.8,May,1,1,8,5,New_Visitor,False,False
2,0.0,0,400.08,22,584.5,0.03,0.04,12.53,0.0,May,1,1,9,4,Returning_Visitor,False,False
0,91.7,0,0.0,1,1635.71,0.2,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
5,268.42,1,0.0,41,1994.19,0.0,0.01,13.76,0.17,Nov,2,2,1,2,Returning_Visitor,False,True
3,14.0,0,400.7,36,1992.36,0.0,0.04,0.0,0.17,Dec,2,2,1,10,Returning_Visitor,False,False
7,119.74,2,417.47,49,1538.06,0.01,0.04,11.16,0.17,Jul,3,2,3,2,Returning_Visitor,False,False
3,0.0,0,400.74,38,0.0,0.2,0.06,0.0,0.0,Nov,8,1,9,2,New_Visitor,False,False
0,0.0,0,0.0,4,87.88,0.0,0.05,7.72,0.0,Nov,1,1,6,10,Returning_Visitor,False,True
3,93.82,0,0.0,4,66.0,0.0,0.05,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
9,266.74,3,1312.4,26,743.48,0.0,0.02,9.28,0.0,Nov,2,2,1,2,Returning_Visitor,True,True
5,41.7,1,114.0,401,14568.16,0.03,0.02,14.16,0.17,Nov,2,2,4,1,Returning_Visitor,False,True
3,59.53,0,0.0,33,183.65,0.0,0.01,0.0,0.0,Sep,2,2,7,2,New_Visitor,False,False
0,0.0,1,411.33,8,320.27,0.0,0.04,11.9,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
0,91.02,0,0.0,18,103.83,0.04,0.05,12.54,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
1,0.0,0,0.0,47,1925.12,0.03,0.02,8.39,0.35,Oct,2,1,8,2,Returning_Visitor,False,True
3,40.0,0,440.21,39,1494.5,0.03,0.0,0.0,0.16,Oct,1,2,7,2,Returning_Visitor,True,False
1,95.94,0,0.0,70,1296.0,0.0,0.01,0.0,0.0,Mar,2,__unknown__,2,3,Returning_Visitor,False,False
4,47.3,1,0.0,14,1794.4,0.03,0.01,43.71,0.0,Oct,4,1,3,5,New_Visitor,False,True
0,90.65,0,399.68,43,1795.95,0.06,0.09,12.72,0.19,Nov,3,2,8,13,Returning_Visitor,True,False
5,176.25,0,399.78,48,1183.05,0.0,0.04,13.72,0.17,Dec,2,2,1,2,Returning_Visitor,False,False
2,108.03,2,162.0,17,481.67,0.02,0.05,12.46,0.17,Mar,2,2,3,2,Returning_Visitor,False,False
1,27.5,1,405.03,11,243.67,0.04,0.05,12.17,0.17,Mar,3,2,1,3,Returning_Visitor,False,False
10,593.47,1,21.2,39,1110.97,0.0,0.04,112.44,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
4,108.84,0,0.0,48,1991.99,0.0,0.01,16.36,0.0,Nov,2,2,3,3,Returning_Visitor,False,True
0,0.0,0,0.0,37,669.97,0.01,0.02,12.54,0.17,Mar,2,2,6,2,Returning_Visitor,False,False
0,0.0,1,411.7,12,276.0,0.03,0.01,0.0,0.0,May,2,5,9,2,New_Visitor,False,False
2,0.0,1,0.0,9,250.5,0.0,0.04,12.49,0.0,Mar,2,2,7,1,Returning_Visitor,True,False
2,107.96,0,0.0,6,162.75,0.03,0.03,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
3,29.0,0,421.44,25,381.36,0.0,0.0,35.88,0.16,May,2,2,1,2,New_Visitor,True,False
3,164.07,0,0.0,37,1553.52,0.03,0.01,0.0,0.17,Sep,2,2,1,2,Returning_Visitor,False,False
3,0.0,0,0.0,55,343.25,0.03,0.03,12.68,0.16,Mar,2,2,2,7,Returning_Visitor,False,True
4,76.0,0,0.0,39,1936.55,0.0,0.02,5.51,0.0,Mar,4,1,3,2,Returning_Visitor,False,False
3,96.06,1,0.0,46,1957.44,0.0,0.02,0.0,0.0,Nov,4,2,6,3,Returning_Visitor,False,False
3,104.62,0,0.0,58,2034.26,0.01,0.04,0.0,0.18,Aug,2,4,7,1,Returning_Visitor,False,True
7,126.74,0,398.99,23,502.52,0.01,0.04,0.0,0.0,Nov,2,5,3,2,Returning_Visitor,True,False
2,0.0,1,0.0,13,1846.38,0.03,0.05,12.57,0.0,Dec,2,2,6,1,Returning_Visitor,False,False
2,91.27,0,399.01,14,291.6,0.0,0.09,12.59,1.0,May,2,2,1,4,Returning_Visitor,True,False
0,90.63,1,0.0,10,1656.67,0.06,0.1,0.0,0.0,Mar,4,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,23,1434.91,0.03,0.04,0.0,0.17,Dec,1,1,1,2,Returning_Visitor,False,False
3,108.06,0,399.71,15,688.18,0.0,0.01,43.03,0.0,Dec,1,1,1,2,New_Visitor,False,True
0,0.0,0,400.53,4,568.48,0.04,0.07,0.0,0.4,Feb,2,2,1,7,Returning_Visitor,False,False
3,100.71,0,0.0,128,1799.14,0.03,0.02,0.0,0.8,May,3,2,3,13,Returning_Visitor,False,False
2,91.42,0,400.67,38,1736.22,0.2,0.2,0.0,0.17,Dec,1,1,7,3,Returning_Visitor,False,False
6,965.5,0,0.0,30,1895.13,0.03,0.01,0.0,0.0,Dec,2,2,5,2,Returning_Visitor,False,False
0,0.0,0,0.0,44,553.5,0.03,0.04,13.69,0.0,May,2,5,7,4,Returning_Visitor,False,True
2,26.18,1,665.5,14,798.49,0.03,0.04,2.14,0.0,Mar,3,2,4,10,Other,False,False
5,39.7,1,402.34,46,1928.7,0.0,0.02,0.0,0.0,Sep,2,2,4,4,Returning_Visitor,False,False
0,0.0,1,0.0,91,1980.0,0.0,0.02,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
5,200.22,2,126.0,146,3385.79,0.03,0.04,5.94,0.4,May,2,2,3,2,Returning_Visitor,False,False
0,90.76,0,0.0,8,1800.73,0.03,0.03,12.56,0.16,Mar,2,2,1,10,Returning_Visitor,False,False
3,208.4,0,0.0,13,177.73,0.0,0.03,12.69,0.0,Aug,1,1,8,4,Returning_Visitor,False,False
2,0.0,0,0.0,5,476.0,0.01,0.09,0.0,0.0,Mar,2,4,1,1,Returning_Visitor,True,False
0,0.0,1,0.0,65,6053.47,0.01,0.03,12.53,0.0,Sep,2,4,9,3,Returning_Visitor,False,False
1,0.0,0,0.0,5,41.67,0.03,0.04,0.0,0.0,Dec,2,__unknown__,6,4,New_Visitor,False,False
0,91.89,1,0.0,2,0.0,0.2,0.2,12.51,0.0,Nov,2,10,2,3,Returning_Visitor,False,False
8,259.83,1,0.0,26,535.47,0.03,0.01,13.25,0.0,May,2,2,8,4,Returning_Visitor,False,False
0,0.0,1,0.0,38,58.0,0.0,0.05,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,False
2,0.0,0,0.0,8,1741.89,0.04,0.05,12.54,0.16,Jul,2,2,9,1,Returning_Visitor,False,False
2,318.2,0,0.0,39,117.0,0.05,0.05,0.0,0.0,Nov,2,2,1,6,Returning_Visitor,False,False
3,0.0,0,0.0,53,1062.67,0.03,0.01,29.0,0.0,Sep,4,1,1,4,Returning_Visitor,False,True
0,0.0,0,0.0,38,0.0,0.07,0.2,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
4,201.85,2,409.21,46,1458.94,0.0,0.04,0.0,0.17,Aug,3,2,3,1,New_Visitor,False,False
3,173.26,0,0.0,49,2010.52,0.02,0.02,20.67,0.0,Nov,3,2,1,1,Returning_Visitor,False,True
1,19.2,0,400.45,22,443.83,0.0,0.04,0.0,0.0,Nov,1,1,2,3,Returning_Visitor,False,False
4,364.33,2,19.0,54,1933.9,0.02,0.03,5.05,0.0,Aug,2,2,1,4,Returning_Visitor,False,False
6,299.0,2,416.3,36,696.4,0.03,0.0,36.65,0.0,May,2,2,2,4,New_Visitor,True,False
0,90.02,0,401.49,12,1822.55,0.02,0.02,0.0,0.0,May,2,2,7,4,Returning_Visitor,True,False
0,0.0,0,0.0,10,214.25,0.0,0.03,12.52,0.19,Nov,3,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,47,801.8,0.0,0.0,12.43,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
0,0.0,1,400.9,48,727.5,0.03,0.02,12.49,0.0,Mar,2,5,3,1,Returning_Visitor,False,False
4,103.4,1,11.0,49,277.35,0.06,0.02,0.0,0.0,Sep,2,2,9,13,Returning_Visitor,False,False
8,136.96,2,172.0,41,176.82,0.02,0.07,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3,48.5,2,32.0,45,2336.32,0.02,0.04,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,4,137.0,0.0,0.08,12.59,0.0,May,4,1,3,3,Returning_Visitor,False,False
3,65.93,0,0.0,17,1811.04,0.03,0.01,25.28,0.0,Dec,2,2,2,2,New_Visitor,False,True
0,88.19,0,400.59,143,4977.85,0.01,0.04,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
4,853.74,2,410.49,584,24844.16,0.0,0.01,4.51,0.0,Nov,2,4,3,2,Returning_Visitor,False,False
2,103.25,0,0.0,10,753.1,0.0,0.05,9.55,0.0,Nov,2,2,2,4,Returning_Visitor,False,False
4,118.8,0,0.0,11,805.5,0.03,0.03,0.0,0.19,Nov,1,1,8,3,Returning_Visitor,False,False
2,91.17,0,0.0,1,0.0,0.2,0.2,0.0,0.17,Dec,2,2,6,1,Returning_Visitor,False,False
3,294.2,2,415.85,60,1994.02,0.04,0.04,0.0,0.0,Sep,3,2,6,2,Returning_Visitor,False,False
0,0.0,1,0.0,38,213.5,0.0,0.05,12.48,0.17,Mar,2,5,1,1,Returning_Visitor,True,False
0,90.04,0,0.0,17,1040.1,0.0,0.01,12.69,0.0,Dec,2,2,5,2,New_Visitor,False,True
1,7.1,0,0.0,48,1993.45,0.0,0.04,0.0,0.17,June,2,2,3,3,Returning_Visitor,False,False
8,144.5,4,181.72,52,2826.79,0.04,0.04,0.0,0.0,May,3,2,3,13,Returning_Visitor,True,False
0,0.0,0,0.0,1,1621.27,0.2,0.07,0.0,0.0,Mar,3,2,3,13,Returning_Visitor,False,False
9,126.4,0,399.96,27,399.69,0.0,0.01,16.2,0.0,Mar,1,1,1,2,New_Visitor,False,False
0,0.0,1,394.99,40,1976.81,0.02,0.05,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,True,False
0,89.09,1,0.0,10,1843.27,0.03,0.02,17.3,0.16,May,2,2,5,2,New_Visitor,True,True
2,99.68,1,2.0,11,1520.17,0.0,0.01,0.0,0.0,Mar,3,2,7,2,New_Visitor,True,False
0,0.0,0,400.86,44,1896.74,0.02,0.04,12.33,0.48,May,3,2,3,13,Returning_Visitor,False,False
0,0.0,0,0.0,1,1721.95,0.2,0.07,0.0,0.26,May,1,1,3,3,Returning_Visitor,False,False
3,101.71,0,0.0,11,143.0,0.0,0.01,0.0,0.0,May,2,10,8,4,Returning_Visitor,False,False
10,125.5,1,418.07,48,1986.54,0.04,0.06,1.68,0.23,May,2,4,5,1,Returning_Visitor,False,False
4,110.1,1,414.77,48,1171.07,0.01,0.04,11.08,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,87.25,0,399.53,46,1914.27,0.03,0.05,12.6,0.8,May,2,4,1,3,Returning_Visitor,False,False
5,305.91,1,415.14,101,6038.24,0.0,0.04,51.36,0.0,Nov,2,4,3,2,Returning_Visitor,True,True
4,119.04,1,408.66,48,2910.63,0.01,0.02,25.05,0.0,Nov,3,2,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,37,0.0,0.2,0.07,0.0,0.23,May,3,2,6,13,Returning_Visitor,True,False
3,108.8,1,0.0,258,2093.85,0.03,0.01,0.0,0.0,Dec,2,2,2,1,Returning_Visitor,False,False
0,0.0,1,257.0,31,1906.8,0.04,0.05,22.63,0.4,May,2,2,2,11,Returning_Visitor,False,True
2,334.25,4,92.17,40,70.75,0.0,0.04,0.0,0.0,Dec,1,1,1,10,Returning_Visitor,True,False
3,103.78,0,0.0,2,1745.36,0.0,0.07,21.48,0.0,Oct,1,8,6,20,Returning_Visitor,True,True
0,0.0,0,0.0,7,1782.93,0.04,0.07,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
4,248.67,2,382.33,30,2009.47,0.04,0.04,9.51,0.16,May,3,2,2,2,Returning_Visitor,True,True
9,424.0,0,0.0,6,2429.61,0.0,0.03,28.02,0.0,Jul,3,5,1,5,New_Visitor,False,False
3,37.2,1,0.0,37,14.0,0.0,0.03,0.0,0.17,Sep,2,7,7,2,New_Visitor,True,False
7,142.83,3,421.92,48,1987.37,0.01,0.03,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,True,True
0,0.0,1,0.0,10,1802.38,0.0,0.02,0.0,0.0,Nov,2,2,3,8,Returning_Visitor,False,False
2,0.0,0,0.0,12,1784.09,0.0,0.01,0.0,0.17,Oct,2,2,3,4,Returning_Visitor,False,False
0,86.21,1,0.0,56,1510.01,0.07,0.09,12.51,0.0,Aug,3,2,1,13,Returning_Visitor,False,False
0,0.0,1,400.18,43,1831.54,0.03,0.04,0.0,0.0,Jul,2,4,1,1,Returning_Visitor,False,False
3,99.84,2,13.5,48,1005.85,0.03,0.01,12.11,0.0,Nov,1,1,3,3,Returning_Visitor,False,False
2,0.0,0,400.65,28,1976.88,0.03,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,1,0.0,1,0.0,0.2,0.07,0.0,0.16,Aug,3,3,1,3,Returning_Visitor,True,False
0,0.0,1,0.0,48,2235.0,0.03,0.03,9.13,0.0,May,2,2,1,2,Returning_Visitor,False,False
1,12.0,0,398.68,48,919.9,0.0,0.02,7.37,0.0,Aug,2,5,1,2,Returning_Visitor,False,True
3,114.23,0,0.0,45,1926.67,0.04,0.04,0.0,0.0,Mar,3,2,2,1,Returning_Visitor,False,False
0,91.8,0,0.0,44,1906.71,0.04,0.04,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
3,24.5,0,0.0,27,1977.3,0.03,0.01,0.0,0.0,Dec,2,2,2,2,Returning_Visitor,False,False
0,0.0,0,398.48,41,169.99,0.01,0.03,21.27,0.0,Jul,2,2,7,2,New_Visitor,False,True
3,96.0,6,425.6,16,1900.9,0.01,0.04,0.0,0.0,Nov,3,2,7,1,Returning_Visitor,True,False
0,91.17,1,0.0,3,1710.01,0.07,0.07,0.0,0.16,June,2,2,2,1,Returning_Visitor,False,False
3,97.75,1,410.05,12,257.42,0.01,0.04,12.51,0.17,Nov,3,2,6,3,Returning_Visitor,False,False
5,108.14,2,15.0,34,1979.23,0.0,0.02,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,True
2,90.93,1,400.52,5,155.25,0.0,0.12,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
1,119.18,0,0.0,148,3486.19,0.01,0.02,0.0,0.0,Nov,3,2,4,1,Returning_Visitor,False,False
0,0.0,2,451.94,3,45.0,0.03,0.07,11.57,0.0,Jul,2,5,1,4,Returning_Visitor,False,False
1,100.0,1,0.0,9,246.17,0.0,0.03,0.0,0.0,Dec,3,2,8,2,Returning_Visitor,False,False
2,0.0,0,0.0,47,709.75,0.03,0.04,12.61,0.0,Nov,3,2,1,3,Returning_Visitor,True,False
5,107.71,0,400.5,47,1011.32,0.02,0.05,3.32,0.0,Mar,2,2,6,1,Returning_Visitor,False,True
0,89.02,0,0.0,41,1989.51,0.01,0.03,0.0,0.4,May,2,2,6,1,Returning_Visitor,False,False
2,0.0,0,0.0,6,117.0,0.08,0.09,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
2,39.4,0,0.0,48,673.65,0.03,0.04,16.33,0.0,Nov,4,2,6,3,Returning_Visitor,True,True
0,0.0,5,161.5,60,1984.76,0.03,0.01,31.32,0.0,May,2,2,6,4,Returning_Visitor,False,True
19,341.82,3,51.4,79,9661.59,0.0,0.01,3.46,0.17,Sep,2,2,1,1,Returning_Visitor,False,False
2,136.4,0,0.0,47,1275.27,0.0,0.04,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
0,92.5,0,0.0,1,0.0,0.08,0.07,0.0,0.0,Nov,3,4,1,13,Returning_Visitor,False,False
3,108.56,0,0.0,24,1934.48,0.03,0.03,0.0,0.0,Nov,1,1,7,2,New_Visitor,False,True
0,0.0,1,104.0,9,244.67,0.05,0.1,0.0,1.0,May,3,2,3,4,Returning_Visitor,True,False
2,0.0,0,400.67,41,17.0,0.0,0.05,0.0,0.17,Nov,2,2,1,3,Returning_Visitor,False,False
2,0.0,0,0.0,71,1995.64,0.03,0.01,4.72,0.0,Nov,4,1,1,2,Returning_Visitor,False,False
5,109.19,0,0.0,7,1720.19,0.03,0.03,0.0,0.0,Mar,3,2,4,2,Returning_Visitor,False,False
9,110.41,2,414.65,62,3120.21,0.0,0.02,7.89,0.17,Nov,3,2,3,10,Returning_Visitor,True,False
2,0.0,2,23.0,47,1936.43,0.03,0.06,13.52,0.6,May,2,2,1,4,Returning_Visitor,False,False
3,104.53,0,0.0,5,151.2,0.0,0.05,0.0,0.8,May,7,1,3,1,Returning_Visitor,False,False
7,440.58,1,0.0,48,1777.7,0.0,0.02,12.66,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
1,29.0,0,0.0,20,451.93,0.01,0.02,0.0,0.21,May,3,2,1,2,Returning_Visitor,False,False
0,0.0,0,399.96,47,1230.37,0.0,0.04,12.64,0.3,May,2,2,1,2,Returning_Visitor,False,False
2,0.0,0,443.1,17,287.5,0.07,0.09,0.0,0.8,May,3,2,4,13,Returning_Visitor,False,False
2,45.0,1,410.55,22,1984.77,0.03,0.04,6.0,0.24,May,2,2,7,13,Returning_Visitor,False,False
0,0.0,1,400.42,2,1705.8,0.2,0.07,0.0,0.6,May,2,2,1,4,Returning_Visitor,False,False
0,89.04,1,0.0,21,1985.56,0.02,0.07,0.0,0.0,Jul,2,2,3,1,Returning_Visitor,False,False
1,106.49,1,402.86,41,1021.52,0.03,0.02,0.0,0.16,Oct,1,2,3,2,New_Visitor,True,False
5,44.75,3,51.5,107,3074.85,0.02,0.04,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,True,False
0,0.0,0,0.0,4,1696.0,0.0,0.05,0.0,0.0,Dec,2,2,9,2,Returning_Visitor,False,False
0,89.94,0,400.09,41,1423.83,0.01,0.03,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
5,135.18,3,522.17,48,3410.7,0.0,0.0,0.0,0.0,Mar,1,2,1,8,Returning_Visitor,True,False
3,11.5,0,0.0,19,887.8,0.01,0.04,12.45,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
8,221.33,2,70.6,63,5245.28,0.0,0.04,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
5,245.47,0,0.0,57,1983.9,0.01,0.03,0.0,0.0,May,4,2,3,6,Returning_Visitor,False,False
2,110.56,0,0.0,36,1445.6,0.03,0.04,0.0,1.0,May,3,3,1,2,Returning_Visitor,False,False
0,0.0,4,122.5,330,11208.36,0.03,0.02,0.0,0.17,Nov,2,2,1,2,Returning_Visitor,False,True
0,0.0,0,0.0,89,1973.52,0.0,0.04,0.0,0.8,May,1,1,6,6,Returning_Visitor,False,False
5,108.49,0,0.0,55,1170.71,0.01,0.0,13.09,0.0,Nov,2,2,1,2,New_Visitor,True,False
2,0.0,0,0.0,24,308.86,0.0,0.04,12.37,0.0,May,2,6,2,2,Returning_Visitor,False,False
0,0.0,1,0.0,31,751.0,0.0,0.04,0.0,0.0,Dec,2,2,7,6,Returning_Visitor,True,False
0,0.0,5,194.4,8,197.9,0.04,0.05,12.83,0.0,Aug,1,1,3,3,Returning_Visitor,False,True
2,101.1,0,0.0,49,547.5,0.03,0.04,13.18,0.8,May,2,__unknown__,3,4,Returning_Visitor,False,False
2,0.0,0,0.0,12,201.33,0.03,0.04,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,399.98,48,1453.9,0.03,0.02,12.32,0.22,Nov,2,6,7,3,Returning_Visitor,False,False
4,738.0,0,401.7,21,664.33,0.03,0.02,0.0,0.0,Oct,3,2,1,2,Returning_Visitor,True,False
2,27.58,0,0.0,22,420.2,0.03,0.02,0.0,0.0,Jul,3,2,1,4,Returning_Visitor,False,False
5,85.0,0,0.0,24,1991.81,0.04,0.06,12.25,0.5,May,3,2,3,1,Returning_Visitor,True,False
3,420.07,3,230.7,23,1251.6,0.06,0.08,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,False,False
2,0.0,1,399.98,8,1742.37,0.0,0.04,0.0,0.4,May,2,2,1,13,Returning_Visitor,False,False
0,88.48,0,0.0,73,3324.6,0.02,0.04,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
7,99.8,1,408.37,50,2100.17,0.0,0.01,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,True
0,0.0,0,0.0,9,1708.72,0.03,0.01,12.67,0.0,Nov,3,2,1,11,Returning_Visitor,False,True
11,903.7,1,26.2,56,2384.56,0.03,0.04,3.87,0.0,Oct,2,2,6,3,Returning_Visitor,False,False
2,630.53,1,0.0,33,357.89,0.0,0.01,0.0,0.0,Oct,3,2,7,2,Returning_Visitor,False,False
1,23.0,0,403.22,39,656.25,0.03,0.03,0.0,0.17,Mar,2,2,8,2,Returning_Visitor,False,False
13,313.03,1,409.98,47,1952.88,0.03,0.01,3.35,0.0,May,2,4,1,4,Returning_Visitor,False,False
2,33.2,0,400.09,9,162.23,0.03,0.02,0.0,0.0,Sep,2,2,1,2,New_Visitor,False,False
3,127.5,1,46.5,33,1993.34,0.03,0.04,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,400.28,41,336.0,0.0,0.02,0.0,0.8,May,2,2,1,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,1664.53,0.2,0.2,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
4,64.5,1,0.0,51,2696.11,0.0,0.02,5.77,0.34,Nov,3,2,1,13,Returning_Visitor,False,True
