Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2,66.47,0,0.0,52,1725.97,0.0,0.03,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,1.49,0,0.0,24,900.92,0.03,0.02,0.0,0.13,May,1,1,1,1,Returning_Visitor,False,False
1,0.0,0,0.0,30,0.0,0.2,0.2,0.0,0.0,Nov,4,1,4,10,Returning_Visitor,False,False
13,768.55,8,417.0,67,6483.77,0.0,0.01,24.27,0.19,May,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.9,1,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,45,2247.06,0.02,0.04,0.0,-0.0,June,4,1,3,3,Returning_Visitor,False,False
3,90.0,0,0.0,21,521.31,0.0,0.01,0.0,0.0,May,2,2,6,5,New_Visitor,False,False
0,0.0,0,0.0,11,242.92,-0.0,0.02,65.06,0.0,Dec,2,10,7,2,Returning_Visitor,True,True
0,0.0,0,0.0,11,19.0,0.03,0.03,0.21,0.0,May,1,1,6,1,Returning_Visitor,True,False
7,51.42,0,0.0,59,1954.75,0.0,0.01,-0.08,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
2,94.0,0,0.0,5,97.0,0.0,0.03,0.53,0.0,Mar,3,3,1,10,Returning_Visitor,False,False
1,58.0,0,0.0,33,1270.1,0.0,0.01,0.0,-0.0,Dec,3,2,3,2,New_Visitor,False,False
2,125.0,0,3.08,16,49.0,0.03,0.04,0.0,0.01,May,1,1,8,1,Returning_Visitor,False,False
0,0.0,0,-4.69,1,487.0,0.0,0.1,0.6,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
0,0.0,0,0.0,12,103.0,0.16,0.17,-0.3,0.6,May,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,-2.33,75,1775.24,0.01,0.02,0.0,0.0,Nov,2,6,5,3,Returning_Visitor,True,False
0,2.9,0,0.0,8,60.53,0.0,0.03,0.0,0.0,Dec,1,1,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,60.25,0.03,0.07,0.0,-0.01,Nov,2,2,7,3,Returning_Visitor,False,True
1,18.22,0,3.69,8,206.49,0.03,0.06,0.0,0.0,Mar,1,2,8,1,Returning_Visitor,False,False
0,0.0,0,0.42,11,176.02,0.0,0.01,22.27,0.11,May,1,8,1,11,Returning_Visitor,True,True
2,25.75,1,0.0,32,2230.6,0.01,0.02,7.22,0.0,Jul,2,2,9,1,Returning_Visitor,False,False
3,108.0,0,0.0,37,1209.56,0.02,0.03,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,-2.32,26,805.79,0.01,0.02,-0.11,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
4,406.0,0,4.9,55,2570.43,0.01,0.02,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
11,221.85,2,106.8,68,1607.17,0.01,0.03,0.0,0.0,Sep,2,2,3,3,Returning_Visitor,False,True
2,28.0,0,0.0,14,773.46,0.0,0.0,80.04,0.0,May,2,2,1,4,Returning_Visitor,True,True
2,5.0,0,0.0,0,577.63,0.0,0.07,-0.7,0.8,May,1,1,8,5,Returning_Visitor,False,False
1,0.0,0,0.0,22,935.57,0.01,0.04,-0.17,0.0,May,4,1,3,4,Returning_Visitor,False,False
0,0.0,0,-0.57,1,124.7,0.2,0.2,0.0,0.0,Dec,2,2,1,13,Returning_Visitor,False,False
1,46.28,0,0.0,41,1124.88,0.0,0.01,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
0,14.0,0,-2.32,17,947.88,0.0,0.01,0.0,0.0,Dec,2,2,1,10,Returning_Visitor,False,False
7,301.08,0,1.37,27,141.84,0.01,0.04,17.7,0.0,Jul,3,2,3,2,Returning_Visitor,False,False
0,38.56,0,2.42,1,0.0,0.2,0.2,1.12,0.0,Mar,8,2,9,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,87.88,0.0,0.11,0.35,0.01,Nov,1,1,4,10,Returning_Visitor,True,True
0,0.0,0,0.0,18,66.0,0.0,0.03,0.35,0.0,Dec,2,2,4,2,Returning_Visitor,False,False
9,266.74,4,1312.4,15,743.48,0.0,0.02,2.58,0.0,Nov,2,7,1,2,Returning_Visitor,True,True
5,41.7,1,8.73,94,14568.16,0.01,0.02,3.55,-0.0,Nov,2,2,4,1,Returning_Visitor,False,True
1,59.53,0,0.0,8,183.65,-0.0,0.01,7.5,0.0,Sep,2,2,9,2,New_Visitor,False,False
0,0.0,1,297.2,8,320.27,0.0,0.04,6.13,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
0,0.0,0,0.0,18,103.83,0.01,0.06,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
1,0.0,0,0.0,28,2195.58,0.0,0.02,8.39,0.0,Oct,1,1,3,2,Returning_Visitor,False,True
2,40.0,0,0.0,25,1290.61,0.01,0.0,0.0,0.06,May,2,2,7,2,Returning_Visitor,False,False
1,0.0,0,0.0,45,1296.0,0.0,0.01,4.68,0.0,Nov,2,5,2,3,Returning_Visitor,False,False
1,47.3,0,0.0,14,654.82,0.0,0.03,0.0,-0.0,Oct,4,1,3,2,New_Visitor,False,True
0,0.0,0,0.0,17,387.34,0.15,0.09,-0.1,0.0,Nov,3,2,9,13,Returning_Visitor,True,False
2,59.78,0,0.2,20,497.57,-0.0,0.04,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
2,40.0,2,162.0,17,461.2,0.02,0.04,38.31,0.0,Mar,2,7,3,2,Returning_Visitor,False,False
0,27.5,0,1.02,11,243.67,0.0,0.02,0.0,-0.0,Mar,2,2,6,3,Returning_Visitor,False,False
10,593.47,1,21.2,39,1110.97,0.0,0.01,112.44,0.0,May,4,2,7,2,Returning_Visitor,False,False
8,164.01,1,45.29,43,1110.58,0.0,0.02,16.36,0.0,Nov,2,2,3,2,Returning_Visitor,False,True
3,135.26,0,0.0,29,933.36,0.01,0.02,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0,35.45,1,28.0,14,276.0,0.0,0.03,0.0,-0.0,May,4,2,9,2,New_Visitor,False,False
5,0.0,0,0.0,9,725.73,0.0,0.04,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,True,False
2,125.5,0,0.0,11,162.75,0.0,0.01,0.0,-0.01,Mar,1,1,1,2,Returning_Visitor,False,False
4,29.0,0,0.0,25,381.36,0.0,0.01,0.0,0.0,May,2,2,1,2,New_Visitor,False,False
10,213.54,0,0.0,37,947.56,0.0,0.01,1.71,-0.0,Sep,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,7,343.25,0.0,0.02,49.36,0.0,Nov,2,2,2,7,Returning_Visitor,True,True
4,76.0,0,0.0,39,1835.6,0.0,0.02,22.5,0.0,Mar,4,1,3,2,Returning_Visitor,False,False
0,0.0,0,0.0,14,275.17,0.0,0.02,0.0,0.01,Nov,4,2,6,3,Returning_Visitor,False,False
10,555.5,0,0.0,47,2034.26,0.01,0.04,0.0,-0.0,Nov,2,2,1,1,Returning_Visitor,False,True
9,87.09,0,0.0,87,1424.77,0.01,0.02,22.25,0.0,Oct,2,5,3,3,Returning_Visitor,False,False
